variant,root,mean_weight,median_weight,min_weight,p10_weight,p90_weight,max_weight
FVD_120D_T2P5_DN,PA,-0.019383938978522704,0.0,-0.5000000000000001,-0.12500000000000003,0.125,0.5000000000000001
FVD_20D_RANK_DN,GC,0.0062415395129918946,0.011434104466777588,-0.5000000000000001,-0.2935819393787452,0.2918440306628666,0.5000000000000001
FVD_20D_RANK_DN,SI,0.01922205923534175,0.03385682617493595,-0.5000000000000001,-0.29993811983554386,0.32824420736844123,0.5000000000000002
FVD_20D_RANK_DN,HG,0.0024174609548204946,0.011943628949253644,-0.5000000000000001,-0.3213166389346998,0.30636204901944075,0.5000000000000001
FVD_20D_RANK_DN,PL,-0.040048723393594776,-0.06345160599241952,-0.5000000000000001,-0.37606580534722817,0.31512322849596475,0.5000000000000001
FVD_20D_RANK_DN,PA,0.012167663690440644,0.023479256307097223,-0.5000000000000001,-0.2654187110562852,0.28574067421568683,0.5000000000000001
FVD_60D_RANK_DN,GC,0.024742596496236204,0.033399098413855945,-0.5000000000000001,-0.27743987107671436,0.32086148266580783,0.5000000000000001
FVD_60D_RANK_DN,SI,0.017574993998160864,0.04889787585015117,-0.5000000000000001,-0.3212312186405048,0.3114631479369207,0.5000000000000001
FVD_60D_RANK_DN,HG,-0.0020232097766160746,-0.01670664668156801,-0.5000000000000001,-0.3196266372006685,0.33375241175027587,0.5000000000000001
FVD_60D_RANK_DN,PL,-0.06033717965567645,-0.08609161237643259,-0.5000000000000001,-0.37098415844943516,0.28146232214111067,0.5000000000000001
FVD_60D_RANK_DN,PA,0.020042798937895456,0.030037859669607127,-0.5000000000000001,-0.2706600003578897,0.29591614466267274,0.5000000000000001
BLEND_MINVAR_FVD20_T2P5_10,GC,0.7323465918330939,0.7507380304109852,0.2277865726231728,0.5468306202448489,0.8979425616829545,1.0285652495286675
BLEND_MINVAR_FVD20_T2P5_10,SI,0.005914887670605388,1.9392213889222747e-18,-0.05000000000000002,-0.0125,0.04639606288685455,0.21313357160378324
BLEND_MINVAR_FVD20_T2P5_10,HG,0.2158396908381679,0.18505191461150586,-0.04079706763778291,0.06778126380610491,0.38861494071816555,0.7323542932899653
BLEND_MINVAR_FVD20_T2P5_10,PL,0.024392671212367028,0.0015834733244008338,-0.05000000000000002,-0.0125,0.08699119000660696,0.3571379073523171
