strategy,root,side,event_count,hit_rate,mean_trade_return_bp,median_trade_return_bp,p10_trade_return_bp,p90_trade_return_bp,mean_duration_hours,median_duration_hours,trade_tstat
hf_event_60D_agree_120D_exhaust_60m_confirm15_hold_state,PL,long_cheap,95,0.5052631578947369,1.8861243783376334,0.09345062959459165,-39.901648332514874,30.90269481845753,35.14473684210526,3.6666666666666665,0.35034040417901935
hf_event_60D_agree_120D_exhaust_60m_confirm15_hold_state,SI,short_rich,66,0.6212121212121212,7.635550005106614,2.740388081203829,-23.874764200063495,64.29465869683207,54.888888888888886,3.458333333333333,0.840314123069888
hf_event_60D_agree_120D_exhaust_60m_confirm15_hold_state,HG,short_rich,92,0.6413043478260869,14.36196566925965,6.170163679871894,-35.16344730556868,51.080817424387796,41.26539855072464,4.416666666666666,1.5929779889787448
hf_event_60D_agree_120D_state_hold,GC,short_rich,133,0.5338345864661654,-3.711692143828651,0.3967267594989809,-37.01565357406618,25.377372410130146,34.6140350877193,4.0,-0.9257055791184554
hf_event_60D_agree_120D_state_hold,PL,long_cheap,108,0.5555555555555556,3.046915666308641,2.632737890385357,-38.3102558002852,29.295860095795447,32.00385802469136,3.0,0.6425435351873359
hf_event_60D_agree_120D_state_hold,SI,short_rich,76,0.6842105263157895,9.194853444845275,4.8815079921679505,-23.15127809251201,55.23671493718018,48.50657894736842,3.0,1.3126426711023724
hf_event_60D_agree_120D_state_hold,HG,short_rich,97,0.6701030927835051,16.085281301458025,8.010799729889884,-35.359348575926234,51.2600353760815,40.49484536082474,5.0,1.8510140731570084
hf_event_60D_pure_confirm_30m_momo_exit,GC,short_rich,3891,0.30814700591107685,-0.6485598039154657,-1.3184045878594297,-5.6924179781503845,5.25558683044151,0.6004240555127217,0.3333333333333333,-6.178510399057617
hf_event_60D_pure_confirm_30m_momo_exit,SI,short_rich,2802,0.30157030692362596,-0.4891695943245562,-1.2412511004127438,-5.534202407588548,5.317566155650149,0.5897275755412801,0.3333333333333333,-3.572610119079293
hf_event_60D_pure_confirm_30m_momo_exit,HG,short_rich,3649,0.32693888736640175,-0.1959725675659115,-1.6943811554263795,-7.713940345283632,8.350886355765969,0.6445144788526536,0.3333333333333333,-1.268654358773165
hf_event_60D_pure_exhaust_30m_flip5_hold_state,GC,short_rich,143,0.5454545454545454,-4.805717199456228,2.0297606880857364,-43.22262101621045,38.157130827255315,39.756410256410255,5.666666666666667,-1.110805885951733
hf_event_60D_pure_exhaust_30m_flip5_hold_state,SI,short_rich,89,0.6067415730337079,1.517203332998828,1.5894310495832464,-32.75560247684736,37.618294561263866,44.0561797752809,2.8333333333333335,0.2305240194200741
hf_event_60D_pure_exhaust_30m_flip5_hold_state,HG,short_rich,114,0.6578947368421053,14.479990510443109,7.515312235100303,-43.42433306911282,59.396509896154136,43.40423976608187,3.9166666666666665,1.8590761579997108
hf_event_60D_pure_exhaust_60m_confirm15_hold_state,GC,short_rich,139,0.5755395683453237,-3.9970918962559807,1.9105218251825562,-38.8616047066954,31.35920832601864,39.824940047961626,4.833333333333333,-0.9110857198944797
hf_event_60D_pure_exhaust_60m_confirm15_hold_state,SI,short_rich,79,0.5822784810126582,-0.5336170696961431,1.7588450829775095,-48.26200060078028,31.6175401103005,49.131856540084385,2.9166666666666665,-0.07022566365547124
hf_event_60D_pure_exhaust_60m_confirm15_hold_state,HG,short_rich,107,0.616822429906542,14.20953964161511,5.75735374372427,-37.02576873823916,59.08045066032866,45.732866043613704,3.9166666666666665,1.7457965172854162
hf_event_60D_pure_state_hold,GC,short_rich,145,0.5172413793103449,-4.620805967184036,0.3804464144785847,-45.34561092213565,35.67707856795013,39.48735632183907,5.0,-1.0693623978949103
hf_event_60D_pure_state_hold,SI,short_rich,90,0.6222222222222222,1.3081782623941738,2.585324752929861,-29.058424448006747,39.58131293218664,43.94907407407407,3.0,0.23005660190360772
hf_event_60D_pure_state_hold,HG,short_rich,115,0.6347826086956522,14.729232650238705,8.010799729889884,-42.80865989746242,60.816155287101445,43.321739130434786,4.0,1.891194347327096
