root,asset,asset_class,horizon_vol_bars,horizon,beta_bps_per_full_ofi_high,beta_bps_per_full_ofi_low,beta_bps_per_full_ofi_spread,corr_high,corr_low,corr_spread,hit_rate_high,hit_rate_low,hit_rate_spread,n_high,n_low,n_spread,nw_tstat_high,nw_tstat_low,nw_tstat_spread,r2_high,r2_low,r2_spread,abs_corr_high_minus_low
6M,Mexican Peso,FX,0,same_vol_bar,12.061837233268385,10.2564342050399,-1.404104041214283,0.25804662359209796,0.28263492382106414,-0.055996693369978555,0.5757575757575758,0.549618320610687,0.4696969696969697,132,131,132,3.8572467734914846,3.813443932175658,-0.6698267387822511,0.06658805994728223,0.07988250016333887,0.0031356296683715534,-0.024588300228966187
6M,Mexican Peso,FX,1,next_1_vol_bar,-2.6032754879648294,1.7491088186742552,-1.5658776447006841,-0.055635758335001374,0.04730990981989804,-0.06215496913583521,0.4732824427480916,0.4846153846153846,0.4351145038167939,131,130,131,-0.6913930821160734,0.5325998790719191,-0.740655315652584,0.0030953376055105064,0.0022382275671670726,0.00386324018827644,0.008325848515103332
6M,Mexican Peso,FX,3,next_3_vol_bars,0.5287939326066572,6.666719656679882,-2.9396038668986333,0.006402922917933327,0.10210287712206387,-0.06609735448035846,0.5658914728682171,0.4728682170542636,0.5038759689922481,129,129,129,0.061364130503584545,1.1517409623006707,-0.6801077800374495,4.099742189300759e-05,0.010424997516603307,0.004368860269302166,-0.09569995420413054
6M,Mexican Peso,FX,6,next_6_vol_bars,-10.799600347602757,11.009631465894055,-8.183889383835918,-0.09488707445934576,0.12089477289430521,-0.13299309110297342,0.46825396825396826,0.5317460317460317,0.4365079365079365,126,126,126,-1.1761743863087841,1.1321384575188729,-1.3876400558747137,0.009003556899453535,0.014615546113165845,0.01768716228112366,-0.026007698434959453
6M,Mexican Peso,FX,12,next_12_vol_bars,-19.43793787987563,24.171546886822462,-16.379857130074168,-0.11042398840556873,0.16854338848196376,-0.17182853354906216,0.425,0.6,0.39166666666666666,120,120,120,-1.0719249603790355,1.4227543929428037,-1.430182052659614,0.012193457215393111,0.028406873800982058,0.029525044941621115,-0.05811940007639503
6N,New Zealand Dollar,FX,0,same_vol_bar,14.28735144974565,15.109169744131641,9.716984942976834,0.24379637195519338,0.14942332133862854,0.16240341189521026,0.5972222222222222,0.5602836879432624,0.5555555555555556,144,141,144,3.119774708008756,1.8847414520302508,1.9098019331002758,0.05943667097851513,0.02232732895986711,0.026374868195205514,0.09437305061656484
6N,New Zealand Dollar,FX,1,next_1_vol_bar,-1.3754200146355156,-11.018881199998768,2.297782763885955,-0.02346527092498898,-0.11174177840313039,0.038389719958890976,0.5384615384615384,0.44285714285714284,0.4825174825174825,143,140,143,-0.317066640742902,-1.3449901413798704,0.4855905799459042,0.0005506189395830807,0.012486225040694632,0.0014737705985220506,-0.0882765074781414
6N,New Zealand Dollar,FX,3,next_3_vol_bars,-1.4739953077187635,-26.134528238013516,7.355414449214415,-0.014007862459161104,-0.14424631679948585,0.06846161322058715,0.49645390070921985,0.427536231884058,0.5319148936170213,141,138,141,-0.2166323063806427,-1.9368084231874942,0.8878521845158147,0.00019622021067489115,0.020806999910217727,0.004686992484765451,-0.13023845434032474
6N,New Zealand Dollar,FX,6,next_6_vol_bars,-14.564627135843901,-52.56212274688862,2.6694546606420246,-0.0896794849319833,-0.18881819159485744,0.01615422311833796,0.45652173913043476,0.4148148148148148,0.5,138,135,138,-1.2000853868454548,-2.121656877976737,0.19630784294395376,0.008042410017666035,0.035652309477152366,0.0002609589245572419,-0.09913870666287414
6N,New Zealand Dollar,FX,12,next_12_vol_bars,-21.50139343659241,-94.75918186072629,10.954496082554144,-0.08465143063620097,-0.22165296777392574,0.04220676471738709,0.4318181818181818,0.34108527131782945,0.5075757575757576,132,129,132,-1.2914590261842185,-2.725221293982888,0.4614254595529097,0.007165864708755354,0.049130038122988884,0.001781410987908849,-0.13700153713772478
6S,Swiss Franc,FX,0,same_vol_bar,19.360309162425544,14.134053025038384,13.744839824010276,0.4090898641736929,0.13074809240454613,0.31965825094229494,0.6333333333333333,0.5629139072847682,0.6291390728476821,150,151,151,4.687205063422251,2.059800034311913,3.36668602659943,0.16735451696965065,0.017095063667427857,0.10218139739548737,0.27834177176914676
6S,Swiss Franc,FX,1,next_1_vol_bar,-0.2889854794489525,-5.42895978530057,0.638529201445216,-0.0060488583187639,-0.049775360036991165,0.014548336059548814,0.4966442953020134,0.47333333333333333,0.5133333333333333,149,150,150,-0.09941142313872862,-0.6437872675087976,0.21690703176355647,3.658868696065909e-05,0.002477586466812176,0.0002116540821017754,-0.04372650171822726
6S,Swiss Franc,FX,3,next_3_vol_bars,7.124324988292406,9.037799038706058,4.49664763548258,0.09371580288431595,0.05226806492028026,0.06458744572532849,0.5374149659863946,0.44594594594594594,0.581081081081081,147,148,148,1.1224469766197058,0.6487903320358074,0.8660710209127981,0.008782651710251832,0.0027319506105105695,0.00417153814532234,0.0414477379640357
6S,Swiss Franc,FX,6,next_6_vol_bars,7.334410543329671,6.813214441605622,5.07581957990917,0.06306922225072469,0.02562211390341329,0.047513376725578226,0.5625,0.4827586206896552,0.5448275862068965,144,145,145,0.8054294873439056,0.29823195689344656,0.6327909590147301,0.003977726795311276,0.0006564927208791982,0.0022575209678665775,0.037447108347311395
6S,Swiss Franc,FX,12,next_12_vol_bars,21.15146905007076,33.51237784480963,12.476125629189061,0.1185878280746215,0.08145352429162304,0.07572563782948062,0.5144927536231884,0.4892086330935252,0.49640287769784175,138,139,139,1.5505352181031782,0.842982637144668,1.029627010868337,0.014063072967456125,0.006634676619526103,0.005734372224681872,0.03713430378299845
6Z,South African Rand,FX,0,same_vol_bar,9.839334588119511,2.352242675421819,5.7544968462109845,0.1711854038090168,0.02567351339464323,0.12458592678120868,0.5795454545454546,0.5476190476190477,0.5681818181818182,88,84,88,1.8051868733970382,0.23458853298538068,1.383071242965608,0.029304442477256054,0.0006591292900249845,0.015521653151932435,0.14551189041437357
6Z,South African Rand,FX,1,next_1_vol_bar,5.032230049448148,-8.911060079681876,5.433410758255887,0.08726449444526867,-0.09667412356870575,0.11749157937542103,0.4827586206896552,0.4819277108433735,0.40229885057471265,87,83,87,0.9164161502208059,-1.2054457103702776,1.3854421768745644,0.0076150919907881365,0.009345886167777762,0.013804271224130527,-0.009409629123437083
