root,asset,asset_class,feature,horizon_vol_bars,horizon,n,beta_bps_per_full_ofi,nw_tstat,r2,corr,hit_rate
RTY,E-mini Russell 2000,Equity,spread,0,same_vol_bar,168,113.13264883500509,4.743499505090575,0.12894879112110447,0.3590944041907425,0.5833333333333334
RTY,E-mini Russell 2000,Equity,low,1,next_1_vol_bar,168,156.15261550166323,1.5416071984525153,0.026313164090126406,0.16221332895334567,0.5416666666666666
RTY,E-mini Russell 2000,Equity,high,1,next_1_vol_bar,168,-4.717544541151474,-0.2591004959160811,0.00019223350643837733,-0.013864829838058833,0.47023809523809523
RTY,E-mini Russell 2000,Equity,spread,1,next_1_vol_bar,168,-20.833031908159025,-1.0177915772027446,0.004359476750181224,-0.06602633376298588,0.4642857142857143
RTY,E-mini Russell 2000,Equity,low,3,next_3_vol_bars,168,380.0487729757125,2.083430889564861,0.05019079964374462,0.22403303248348153,0.5714285714285714
RTY,E-mini Russell 2000,Equity,high,3,next_3_vol_bars,168,-2.9987931418607423,-0.08041555231916647,2.501272362442908e-05,-0.005001272200591933,0.5
RTY,E-mini Russell 2000,Equity,spread,3,next_3_vol_bars,168,-43.40925829606406,-1.094470452509092,0.006094878267872583,-0.07806970134356035,0.49404761904761907
RTY,E-mini Russell 2000,Equity,low,6,next_6_vol_bars,168,540.4986643187849,2.061599247433569,0.04705289731840112,0.21691679814712603,0.5714285714285714
RTY,E-mini Russell 2000,Equity,high,6,next_6_vol_bars,168,85.49585248808869,1.7531414903540834,0.009423445769501604,0.09707443417039047,0.5238095238095238
RTY,E-mini Russell 2000,Equity,spread,6,next_6_vol_bars,168,15.452833186369746,0.309814764902458,0.00035798778884432725,0.0189205652358536,0.49404761904761907
RTY,E-mini Russell 2000,Equity,low,12,next_12_vol_bars,168,842.9551725091103,2.7864149581565485,0.05140767573325833,0.22673260844717133,0.5952380952380952
RTY,E-mini Russell 2000,Equity,high,12,next_12_vol_bars,168,220.73764926203378,2.1904742379712383,0.02821592916931459,0.16797597795314226,0.5357142857142857
RTY,E-mini Russell 2000,Equity,spread,12,next_12_vol_bars,168,99.25816641902263,1.1260587786654874,0.006634471993679836,0.081452268192358,0.5059523809523809
NIY,Nikkei 225,Equity,low,0,same_vol_bar,155,5.537559375134539,0.15404529101857736,0.00012181090570473341,0.011036797801221621,0.5483870967741935
NIY,Nikkei 225,Equity,high,0,same_vol_bar,153,31.42015663320467,1.9310051960799257,0.01937942017832006,0.1392099859145165,0.49019607843137253
NIY,Nikkei 225,Equity,spread,0,same_vol_bar,155,33.428430531731344,1.6205983396882773,0.019718405017960294,0.14042223833125667,0.5225806451612903
NIY,Nikkei 225,Equity,low,1,next_1_vol_bar,155,-43.117716428115685,-1.152890075739155,0.007406576115174368,-0.08606146707542546,0.45806451612903226
NIY,Nikkei 225,Equity,high,1,next_1_vol_bar,153,-14.142429954097986,-0.808238690118317,0.003886053034167114,-0.0623382148779312,0.477124183006536
NIY,Nikkei 225,Equity,spread,1,next_1_vol_bar,155,-5.790393248105466,-0.2949702569336266,0.0005933521679644116,-0.02435882115301215,0.49032258064516127
