,kmeans_3,dbscan,spectral_3
48522,0,0,0
48568,0,0,0
48615,2,0,1
48661,0,0,0
48707,0,0,2
48754,0,0,0
48800,0,0,0
48846,2,0,1
48893,2,0,1
48939,2,0,0
48985,1,-1,0
49031,1,-1,0
49078,2,0,1
49124,0,0,0
49170,2,0,0
49217,2,0,0
49263,0,0,0
49309,0,0,0
49356,2,0,1
49402,0,0,0
49448,0,0,0
49494,2,0,1
49541,2,0,1
49587,0,0,0
49633,1,-1,0
49680,0,0,2
49726,0,0,2
49772,2,0,1
49818,1,-1,0
49865,2,-1,1
49911,0,0,2
49957,2,0,1
50004,2,0,1
50050,2,0,1
50096,2,0,1
50143,0,0,0
50189,2,0,1
50235,0,0,0
50281,1,-1,0
50328,0,0,0
50374,0,0,0
50420,0,0,0
50467,0,0,2
50513,0,0,0
50559,0,0,2
50606,0,0,0
50652,0,0,0
50698,2,0,1
50744,2,-1,1
50791,2,-1,1
50837,2,0,1
50883,2,0,0
50930,2,0,1
50976,2,-1,1
51022,2,0,1
51069,2,0,1
51115,2,-1,1
51161,1,-1,1
51207,1,-1,0
51254,0,0,0
51300,0,0,0
51346,2,0,1
51393,0,0,0
51439,2,0,1
51485,2,0,1
51532,2,0,1
51578,0,0,0
51624,0,0,0
51670,0,0,0
51717,0,0,0
51763,0,0,2
51809,2,0,1
51856,2,0,0
51902,0,0,0
51948,2,0,1
51995,0,0,0
52041,2,0,1
52087,0,0,0
52133,2,0,0
52180,0,0,0
52226,1,-1,0
52272,1,-1,0
52319,2,-1,1
52365,0,0,2
52411,0,0,0
52458,2,0,1
52504,2,0,1
52550,2,0,1
52596,2,-1,1
52643,2,0,1
52689,1,-1,0
52735,2,0,0
52782,0,0,0
52828,2,0,1
52874,1,-1,0
52921,2,-1,1
52967,2,-1,0
53013,0,0,0
53059,0,0,0
53106,0,0,0
53152,0,0,0
53198,0,0,0
53245,2,0,1
53291,0,0,0
53337,1,-1,0
53384,0,0,0
53430,2,-1,1
53476,0,0,0
53522,0,0,0
53569,1,-1,0
53615,0,0,0
53661,0,0,0
53708,0,0,2
53754,1,-1,0
53800,0,0,0
53847,2,-1,1
53893,2,-1,0
53939,2,-1,1
53985,2,0,1
54032,1,-1,0
54078,2,0,1
54124,2,0,0
54171,0,0,0
54217,0,0,0
54263,0,0,0
54310,1,-1,0
54356,2,0,1
54402,1,-1,0
54448,1,-1,0
54495,1,-1,0
54541,1,0,0
54587,0,0,0
54634,2,0,1
54680,2,0,1
54726,0,0,0
54773,0,0,2
54819,0,0,0
54865,0,0,2
54911,2,0,0
54958,2,0,1
55004,0,0,0
