time_bin,time_utc,signal_window,horizon,n_days,momentum_ls_mean,momentum_ls_tstat,momentum_ls_p_value,mean_daily_ic,daily_ic_tstat,daily_ic_p_value,split_date,train_n,train_mean,train_tstat,test_n,test_mean,test_tstat,momentum_ls_q_value,daily_ic_q_value
1350,22:30,5,5,1651,-0.00018863031808534413,-7.479801647797285,7.443487109644048e-14,-0.14586249033903134,-9.836044036620265,7.874654219039207e-23,2023-07-10 00:00:00+00:00,1155,-0.00016231308280173135,-5.536509210050561,496,-0.0002499133962155312,-5.123036334605044,1.6778860526322626e-12,1.0143304601190979e-21
1260,21:00,5,5,2459,-8.9367057595489e-05,-7.4505667323852975,9.294011494290354e-14,-0.19466809599539456,-10.053647545842212,8.852862552747041e-24,2023-07-03 00:00:00+00:00,1721,-9.92138022101128e-05,-7.622814630034994,738,-6.640466263374435e-05,-2.5543259766889617,2.052269476902482e-12,1.294432065144905e-22
1080,18:00,5,15,2527,-0.0003574161634004521,-7.446830883269225,9.560905020457698e-14,-0.12123890548869624,-10.333470065491774,4.972838401446052e-25,2023-07-06 00:00:00+00:00,1768,-0.000326657934876994,-6.301269334537639,759,-0.0004290637892627367,-4.099188524653752,2.0689798464270457e-12,8.820674016991193e-24
240,04:00,5,15,2512,-0.00019564839078382358,-7.430938046278501,1.0783021186278604e-13,-0.14711356082805627,-12.299772063560168,9.083009003145219e-35,2023-07-13 00:00:00+00:00,1758,-0.00021372542205180077,-7.273813051589077,754,-0.00015350061761525076,-2.802039565432253,2.287691945794794e-12,4.467188973365058e-33
1410,23:30,5,15,2487,-0.00021856339996738708,-7.38897779084411,1.479618774156933e-13,-0.12709895449678668,-10.349105984914601,4.224117176720163e-25,2023-07-23 00:00:00+00:00,1740,-0.0002063106321164643,-6.281311495847374,747,-0.00024710398371652445,-3.9834295264604345,3.0787452185342337e-12,7.617491308685359e-24
1380,23:00,5,5,1627,-0.000161550792199391,-7.358471775609279,1.860275782393003e-13,-0.1511254067582949,-9.885763191629845,4.799108469444148e-23,2023-07-18 00:00:00+00:00,1138,-0.00013838544086426424,-5.691447900367977,489,-0.0002154611599281727,-4.669240242788533,3.772305035218052e-12,6.332482151144595e-22
1230,20:30,15,5,2451,-0.00013969638394273587,-7.356874205206377,1.8826660989073457e-13,-0.1259130324024615,-10.662610130526497,1.5226316463520947e-26,2023-07-06 00:00:00+00:00,1715,-0.00012810822745774227,-5.920048838074534,736,-0.00016669867792611093,-4.367961387027191,3.772305035218052e-12,3.108466870477295e-25
1380,23:00,5,15,1627,-0.00021487213165396584,-7.331649494015165,2.2733703838427725e-13,-0.16871851369998042,-11.13046499492882,8.9169128508423e-29,2023-07-18 00:00:00+00:00,1138,-0.0001899428481948373,-5.634792860764175,489,-0.00027288751933594597,-4.7139808124739675,4.472339555123419e-12,2.19274993286622e-27
240,04:00,15,15,2512,-0.0001967736809795002,-7.265526856416846,3.715870917075821e-13,-0.12404102023821306,-10.221067821706846,1.5957325837245583e-24,2023-07-13 00:00:00+00:00,1758,-0.0001787878352382824,-6.000034467152411,754,-0.00023870884916658359,-4.145931200204373,7.1795934504929254e-12,2.6977853993593317e-23
270,04:30,5,30,2511,-0.00023080193556055943,-7.230398477979446,4.815788841721199e-13,-0.1134519344170965,-9.526493012200431,1.6268633186626986e-21,2023-07-13 00:00:00+00:00,1757,-0.00021064937467635205,-5.939321602017165,754,-0.00027776221337694196,-4.153850433842898,9.141550046916382e-12,1.778046576558626e-20
1170,19:30,5,60,2474,-0.00037354229020646285,-7.209466747230686,5.617141233098786e-13,-0.09714423613726612,-8.268166595581226,1.3603471658030247e-16,2023-07-11 00:00:00+00:00,1731,-0.00034121943956179427,-6.0424073690280125,743,-0.0004488462666074336,-4.021138392906356,1.0478873817608425e-11,7.322863847755586e-16
1170,19:30,5,5,2474,-0.00016120164300237121,-7.195701021959111,6.214065976456409e-13,-0.11962622012328634,-10.038054535720615,1.0369914332990638e-23,2023-07-11 00:00:00+00:00,1731,-0.00014474797783567043,-5.41963615961296,743,-0.0001995344753086418,-4.850716168197895,1.1395965061908195e-11,1.4571749751033597e-22
540,09:00,5,5,2549,-0.0002541502841781774,-7.187438658712655,6.601804571226939e-13,-0.10296357349893871,-8.831415337616688,1.0335941592015832e-18,2023-06-29 00:00:00+00:00,1784,-0.00024238007573565702,-5.7773573381510035,765,-0.0002815987179840026,-4.2873229791490175,1.18524603510005e-11,7.820621540252539e-18
270,04:30,30,5,2511,-0.00012377824269957317,-7.185787898410375,6.682070992708231e-13,-0.10925700965433577,-8.946568088102165,3.6670578022954714e-19,2023-07-13 00:00:00+00:00,1757,-0.0001242240222167718,-6.7209176088976506,754,-0.00012273947000498696,-3.2374830875561633,1.18524603510005e-11,2.961012344838582e-18
300,05:00,60,5,2517,-0.0001358793734511415,-7.1208958099681,1.0722782944096387e-12,-0.11396447492280982,-9.641997622161535,5.314356392351809e-22,2023-07-11 00:00:00+00:00,1761,-0.00011628965571622573,-5.525174018257423,756,-0.00018151097785747307,-4.495198642709443,1.8712985718568212e-11,6.460824288229952e-21
1140,19:00,30,15,2488,-0.00024261014353812196,-7.097311332028689,1.2720728444235684e-12,-0.10015010560672864,-8.627627881325333,6.263748400608033e-18,2023-07-10 00:00:00+00:00,1741,-0.00028167951789875596,-7.035632647657491,747,-0.00015155287344191873,-2.3260011326201764,2.184734631216351e-11,4.1075004663381157e-17
1410,23:30,5,5,2487,-0.0001455194894939206,-7.081869358712543,1.4222270599530142e-12,-0.1394511929541865,-11.573255175692848,5.630512468063504e-31,2023-07-23 00:00:00+00:00,1740,-0.00012187817390154269,-6.482860837942213,747,-0.00020058761416692937,-3.818429607825969,2.4044526232330646e-11,1.9652304807886168e-29
1350,22:30,60,30,1651,-0.00032912545311611336,-7.066149378757869,1.5929194254142554e-12,-0.17423540979989283,-11.405167104675272,3.940199350414393e-30,2023-07-10 00:00:00+00:00,1155,-0.000285908600483875,-5.281084697545383,496,-0.00042976147083836186,-4.7660939178013635,2.6515981819972683e-11,1.2539104991612862e-28
1260,21:00,30,rest,2459,-0.0005163702216462538,-7.05758931541527,1.6941587451320051e-12,-0.18323955291413674,-14.380955473859952,6.814719077750609e-47,2023-07-03 00:00:00+00:00,1721,-0.0005637704375752501,-7.282221121510946,738,-0.0004058339457467922,-2.4769237597410196,2.7773935791406507e-11,9.2169075526577e-45
300,05:00,60,15,2517,-0.00020412441303877793,-7.043866773005942,1.8697693153910496e-12,-0.1182449817148384,-9.844694918367855,7.225811643777881e-23,2023-07-11 00:00:00+00:00,1761,-0.00018037694053190935,-5.70828543483581,756,-0.0002594409462194599,-4.159912212586719,2.9782142143601076e-11,9.41967252839478e-22
