root,time_bin,time_utc,signal_window,horizon,n,ic,ic_tstat,ic_p_value,signed_mean,signed_tstat,signed_p_value,quintile_spread_mean,quintile_spread_tstat,quintile_spread_p_value,split_date,train_n,train_mean,train_tstat,test_n,test_mean,test_tstat,ic_q_value,signed_q_value,quintile_spread_q_value
PA,1260,21:00,5,rest,1909,-0.10298828539992026,-4.521459728330255,6.141464500188239e-06,-0.0003920755688438946,-4.3837752448626155,1.166401131316713e-05,-0.0007796037847499069,-4.430167676744461,9.41598464875174e-06,2024-03-22 00:00:00+00:00,534,-0.0008927565450665813,-4.872423580887602,230,-0.0005168925934059757,-1.2886589021284054,3.4077254303608586e-05,0.0010016238286386376,0.0010838399351009982
PA,1020,17:00,60,rest,2517,-0.19962836176950954,-10.216967919065725,1.6646647847228845e-24,-0.0007113203993855321,-4.334650352721846,1.4599197903793852e-05,-0.0014164404141473702,-4.37727797180884,1.2017067450635037e-05,2023-10-24 00:00:00+00:00,705,-0.0014161626387193145,-3.84940200625053,303,-0.0014170867233116579,-2.1675210513900396,9.479827879316638e-23,0.0011446617486887644,0.001299498351910781
PA,510,08:30,5,5,2319,-0.22482987804748308,-11.106587524964924,1.1652796495455822e-28,-0.00016392994271882346,-4.290394508275216,1.78355994210732e-05,-0.00035042124837313354,-4.374347866418876,1.2179602673993196e-05,2024-03-05 00:00:00+00:00,649,-0.0003172706895347028,-3.1600209166419932,279,-0.00042753491391485957,-3.3295967730114495,8.879102681748732e-27,0.0013456288376019554,0.001299498351910781
PA,1140,19:00,60,15,2118,-0.09614507049455609,-4.44325737945838,8.86070634723667e-06,-0.00014821119570399463,-3.7995900796208804,0.0001449356243467999,-0.00032254183939239004,-4.370916541327056,1.2372608120773342e-05,2024-03-13 00:00:00+00:00,593,-0.00037667053818407056,-4.531848530584399,255,-0.0001966660810258547,-1.3009450109789602,4.761381892071185e-05,0.005441878294040796,0.001299498351910781
GC,1260,21:00,15,15,2322,-0.19694081781187103,-9.675415283192708,3.8353134546626675e-22,-2.514884932398248e-05,-3.576602279234027,0.00034808915920448986,-6.581385315800946e-05,-4.369527168902459,1.245158485310736e-05,2024-02-26 00:00:00+00:00,651,-5.100054020648823e-05,-3.767023445892124,279,-0.00010037825004489232,-2.5738656319349613,1.8200917359407922e-20,0.010347045886243352,0.001299498351910781
PA,90,01:30,15,30,1379,-0.3014774626161507,-11.733113831065905,8.622714194419106e-32,-0.00041910762370674554,-4.049435237142616,5.134138297977139e-05,-0.0009284100016378657,-4.368844656902034,1.2490557171785694e-05,2025-04-16 00:00:00+00:00,386,-0.00048705959530922604,-2.3988590676166495,166,-0.001954682633221329,-3.77108659411692,7.647357998656944e-30,0.0028342538971486047,0.001299498351910781
PL,1380,23:00,5,15,1590,-0.16091556855482214,-6.497109164133215,8.187805180127656e-11,-0.0001369453811871297,-4.670957860702554,2.9979844267234042e-06,-0.0002675609349030666,-4.355401057723773,1.328235029051466e-05,2023-08-10 00:00:00+00:00,445,-0.0002547104402644986,-3.4944430554319457,191,-0.00029750056900863076,-2.6027205453839546,9.800005757630668e-10,0.0004220099414198301,0.001355802171163855
PA,1110,18:30,5,5,2089,-0.015441579080108184,-0.7055125079477926,0.4804913508019824,-0.000148745439382566,-4.334792534526699,1.4589765362987702e-05,-0.0003239512674508636,-4.3219877881748765,1.5462974927768296e-05,2024-02-01 00:00:00+00:00,585,-0.00036026283568523285,-3.83882691068012,251,-0.00023932071997235347,-1.986977886913141,0.5880157803754709,0.0011446617486887644,0.0015403749925281185
PA,1260,21:00,30,120,1909,-0.09473148630267017,-4.155537305694745,3.2452398540335235e-05,-0.00033617235433114367,-5.410134710497663,6.297735801002818e-08,-0.0005054599805776166,-4.3191940458158316,1.5660004545110262e-05,2024-04-19 00:00:00+00:00,534,-0.0006891010498700109,-5.908793961066815,230,-7.909332404657955e-05,-0.2851438076393878,0.00015387158291254482,2.8392292236187704e-05,0.0015403749925281185
PA,1140,19:00,30,15,2118,-0.11967554548131179,-5.544926166964701,2.940782354440618e-08,-0.000190004127694283,-4.892719095626508,9.94523048943863e-07,-0.00033601041045152897,-4.3016363250569825,1.695414141843386e-05,2024-02-13 00:00:00+00:00,593,-0.00047001189120608804,-5.290266367965511,255,-2.4391280696809228e-05,-0.15636503160348805,2.44387596582546e-07,0.0001855299894753896,0.0016378911620308423
PL,1350,22:30,60,15,1630,-0.10906198629782042,-4.426892221923277,9.560046899834546e-06,-0.000172507800595731,-5.626199710957393,1.8422305023429708e-08,-0.00027239335224383323,-4.291774602552192,1.7725082452613277e-05,2024-05-30 00:00:00+00:00,456,-0.00019734618646086312,-2.8295467539665995,196,-0.000446992880800131,-3.321915833395638,5.100577290740127e-05,1.4237810025250674e-05,0.0016823280012041725
PL,1320,22:00,15,60,830,-0.16990343566154284,-4.9611003637049755,7.009496055971134e-07,-0.00014110238256479475,-4.2780761167811985,1.8851556326628495e-05,-0.00028337588315557416,-4.230880687670386,2.327781256420185e-05,2023-11-27 00:00:00+00:00,232,-0.00031828539043814977,-4.989635553761589,100,-0.00020238582625999867,-1.216589767584451,4.574351467165722e-06,0.0013782016179332453,0.002171258034005724
PL,1080,18:00,60,5,2514,-0.1775975019490043,-9.044946909315534,1.4973791625468586e-19,-8.546583038955914e-05,-3.2510711221167603,0.0011497109261179763,-0.00022133277907175695,-4.226084544990181,2.3779268005362827e-05,2023-09-20 00:00:00+00:00,704,-0.00024024550932818826,-3.8724420740287617,303,-0.0001773903298950981,-1.8161492092188667,5.473527884715206e-18,0.021797753929631344,0.0021804379645595407
PL,1080,18:00,30,5,2514,-0.16502073434293102,-8.385783773620032,5.0388882380836676e-17,-7.785233320140562e-05,-2.970320355588471,0.0029748934192980626,-0.00022246479813642548,-4.21678038112125,2.4781511121593812e-05,2023-06-28 00:00:00+00:00,704,-0.0001931164928719902,-3.0970604191782756,302,-0.0002908793905409369,-2.9435039889733314,1.342876126504071e-15,0.042934113220087,0.0022073284077699707
PA,1020,17:00,15,120,2517,-0.16259078808848626,-8.263853796440923,1.4104334488555345e-16,-0.0003355723602263186,-2.9138352996230896,0.0035701820889662604,-0.0008901006729849856,-4.21580799128522,2.4888545817739038e-05,2023-07-19 00:00:00+00:00,705,-0.000897742795557114,-3.605028540591472,303,-0.0008723194967033006,-2.1936390758985596,3.565628485190861e-15,0.04889793696533536,0.0022073284077699707
PA,600,10:00,30,30,2257,-0.1558280657737296,-7.49129467331662,6.819750885601475e-14,-0.00023135018186865426,-2.9269118286220124,0.003423459209810642,-0.0006534732211458423,-4.209332076656157,2.561267164657647e-05,2024-01-26 00:00:00+00:00,632,-0.00082889392963598,-4.192750162185454,272,-0.0002458780455364047,-1.0525305170784616,1.2464477125372965e-12,0.0480851029721829,0.002216133828186062
PA,1260,21:00,15,15,1909,-0.12428276955113458,-5.469738253474248,4.5070068523082266e-08,-0.00012811821964763838,-5.472780143852287,4.4302961606487476e-08,-0.00020697364127025743,-4.207622914830521,2.5807103729338618e-05,2024-05-13 00:00:00+00:00,534,-0.00029126848542093393,-5.810422845153536,230,-1.12630031117302e-05,-0.0989298655963693,3.639239861341419e-07,2.1789002026463386e-05,0.002216133828186062
PA,1020,17:00,30,rest,2517,-0.17930381744908638,-9.140174176972103,6.23518242882396e-20,-0.0006136288159695729,-3.7691773777780386,0.00016378646459757658,-0.0013252610945829533,-4.197718616855306,2.6961733846972066e-05,2023-08-18 00:00:00+00:00,705,-0.0011050308844755474,-3.089788733023034,303,-0.0018376779200803834,-2.8676858363403688,2.4443722420244656e-18,0.005868111082601915,0.002237458849330867
HG,1260,21:00,5,120,2406,-0.13569911820342667,-6.715527546470211,1.873870217172627e-11,-0.0001106495339397713,-4.247377375573226,2.1628747500823955e-05,-0.00022203676174892078,-4.192672036411103,2.7568786651608217e-05,2022-11-30 00:00:00+00:00,674,-0.00010921317974695589,-2.0612815852472055,290,-0.0004842543281948667,-3.885662677748082,2.4639938109860155e-10,0.0014957885383491798,0.002237458849330867
