root,time_bin,time_utc,horizon,n,mean,tstat,p_value,split_date,train_n,train_mean,train_tstat,test_n,test_mean,test_tstat,q_value
HG,930,15:30,5,2508,1.5880496674859417e-05,0.6804068966687209,0.4962468553553229,2023-07-06 00:00:00+00:00,1755,1.3690417043309013e-05,0.5070656458613131,753,2.098486553723784e-05,0.45947802473953675,0.8262172977855051
SI,480,08:00,120,2448,7.271886587294771e-05,0.6802506165026445,0.4963457876150906,2023-07-27 00:00:00+00:00,1713,-2.1685662272583077e-05,-0.19346606354531531,735,0.0002927392151427358,1.210387500007981,0.8262172977855051
PA,1020,17:00,120,2517,7.940025722310397e-05,0.6798616569496411,0.4965920618844019,2023-06-28 00:00:00+00:00,1761,0.00010007341307260499,0.7408167845102211,756,3.1244929907004366e-05,0.13670423547012137,0.8262172977855051
PA,180,03:00,5,1275,3.060529087000827e-05,0.6797208603543304,0.496681224944704,2024-11-01 00:00:00+00:00,892,1.1539542708998939e-05,0.25089379030745806,383,7.500906987684986e-05,0.7148671185128059,0.8262172977855051
PL,1350,22:30,5,1630,-1.421599256312035e-05,-0.679483119254442,0.49683179997193716,2023-07-10 00:00:00+00:00,1141,-4.746093306796445e-05,-1.9589610727013447,489,6.335553528151588e-05,1.5580918622578246,0.8262172977855051
PL,90,01:30,15,2534,2.9355712370096793e-05,0.6793077557298721,0.4969428833051197,2023-06-26 00:00:00+00:00,1773,-3.242487303966056e-05,-0.7968564123788379,761,0.00017329392252975485,1.6026698014247287,0.8262172977855051
SI,1050,17:30,30,2461,3.782126893046619e-05,0.6792904228516967,0.4969538634671348,2023-07-20 00:00:00+00:00,1722,1.7118481308137098e-05,0.30822665990937576,739,8.606240598818027e-05,0.647871067212331,0.8262172977855051
HG,420,07:00,120,2494,-6.917708996845674e-05,-0.6791202174433527,0.4970616933369185,2023-07-11 00:00:00+00:00,1745,-8.209607822498295e-05,-0.6796660601302134,749,-3.9078779544373633e-05,-0.20625963311604945,0.8262172977855051
GC,1020,17:00,60,2470,-2.615432586607848e-05,-0.6783450883611779,0.4975529168281829,2023-07-17 00:00:00+00:00,1729,-1.8706313921976849e-06,-0.04426037906139783,741,-8.2816279638467e-05,-1.00472743094425,0.8262172977855051
PL,150,02:30,5,2527,-1.4653817954730205e-05,-0.6747219070734096,0.49985246351920176,2023-06-28 00:00:00+00:00,1768,2.4886882843858333e-05,1.322232278996464,759,-0.00010675916579650166,-1.86022385219665,0.8278710573049405
