window,root,side,start_ts,end_ts,observations,max_abs_z,max_abs_deviation_bp,end_z,end_deviation_bp,duration_hours
20D,HG,rich,2023-09-10 22:45:00+00:00,2023-09-12 05:45:00+00:00,31,3.5777926055739675,91.35912078082592,2.5411866303955026,75.60242819884321,31.0
20D,HG,rich,2023-09-12 07:45:00+00:00,2023-09-14 14:45:00+00:00,54,3.9130767132717335,123.07408406523473,2.513677319266635,110.95131396774455,55.0
20D,HG,cheap,2023-10-03 11:45:00+00:00,2023-10-03 12:45:00+00:00,2,2.9213209395536492,66.8498558518124,-2.9213209395536492,-66.8498558518124,1.0
20D,HG,cheap,2023-10-04 13:45:00+00:00,2023-10-05 03:45:00+00:00,14,2.9702541743225446,83.17746106864254,-2.5749487843222667,-77.97282287571066,14.0
20D,HG,rich,2023-10-31 10:45:00+00:00,2023-10-31 10:45:00+00:00,1,2.595151998072786,73.5182056442582,2.595151998072786,73.5182056442582,0.0
20D,HG,rich,2023-10-31 14:45:00+00:00,2023-10-31 14:45:00+00:00,1,2.644820788890752,74.92527558858846,2.644820788890752,74.92527558858846,0.0
20D,HG,rich,2023-10-31 16:45:00+00:00,2023-10-31 16:45:00+00:00,1,2.569528503357337,72.79231623384452,2.569528503357337,72.79231623384452,0.0
20D,HG,cheap,2023-11-27 14:30:00+00:00,2023-11-27 14:30:00+00:00,1,2.6128878850100206,29.379898119985537,-2.6128878850100206,-29.379898119985537,0.0
20D,HG,cheap,2023-11-27 16:30:00+00:00,2023-11-28 08:30:00+00:00,16,3.3441296037407415,37.60214421046765,-2.8523567054529173,-32.07253931132331,16.0
20D,HG,cheap,2023-11-28 23:30:00+00:00,2023-11-29 12:30:00+00:00,14,3.660351874658471,42.18326877752615,-2.793534317926021,-32.45171173229089,13.0
20D,HG,cheap,2023-11-29 15:30:00+00:00,2023-11-30 17:30:00+00:00,26,4.222954180394166,59.17015652370794,-2.6805214869292904,-40.07950264528382,26.0
20D,HG,cheap,2023-12-01 00:30:00+00:00,2023-12-01 00:30:00+00:00,1,2.550759476788329,39.12285632323709,-2.550759476788329,-39.12285632323709,0.0
20D,HG,cheap,2023-12-01 02:30:00+00:00,2023-12-01 04:30:00+00:00,3,3.2068376551379596,50.61499509198569,-3.2068376551379596,-50.61499509198569,2.0
20D,HG,cheap,2023-12-01 12:30:00+00:00,2023-12-01 21:30:00+00:00,10,3.6360261633289106,64.44596517182933,-3.6242491021760754,-64.44596517182933,9.0
20D,HG,cheap,2023-12-03 23:30:00+00:00,2023-12-05 23:30:00+00:00,47,4.067625529185322,99.86941929921971,-2.5539117721800597,-83.77719042269,48.0
20D,HG,cheap,2023-12-14 14:30:00+00:00,2023-12-15 21:30:00+00:00,31,4.585028570558124,127.11883456731049,-4.281691845982896,-122.82680490352638,31.0
20D,HG,cheap,2023-12-17 23:30:00+00:00,2023-12-21 09:30:00+00:00,80,5.035845524316363,168.71152155379266,-2.530481357080557,-141.82799755491803,82.0
20D,HG,rich,2024-01-24 09:00:00+00:00,2024-01-24 10:00:00+00:00,2,2.6763456441195435,51.91323187791919,2.6763456441195435,51.91323187791919,1.0
20D,HG,cheap,2024-01-28 23:00:00+00:00,2024-02-02 21:00:00+00:00,115,5.738873632969252,136.22731576926256,-2.726842554358805,-101.76899488757357,118.0
20D,HG,cheap,2024-02-15 18:00:00+00:00,2024-02-16 21:00:00+00:00,27,3.455125220235392,106.96519221721907,-3.299696665118385,-103.26715058785324,27.0
20D,HG,cheap,2024-02-18 23:00:00+00:00,2024-02-19 19:00:00+00:00,21,4.458249761086607,124.4601904445028,-2.6194683090087416,-80.39905217289645,20.0
20D,HG,cheap,2024-02-20 01:30:00+00:00,2024-02-20 09:30:00+00:00,9,2.933628670806399,92.84736752826373,-2.5625420035838964,-83.51116032024764,8.0
20D,HG,cheap,2024-02-20 12:30:00+00:00,2024-02-21 01:30:00+00:00,13,3.091434491632747,101.99958938270997,-2.5789907981689004,-93.83116541754165,13.0
20D,HG,cheap,2024-03-04 15:30:00+00:00,2024-03-05 16:30:00+00:00,25,3.205657039163093,50.831917094215086,-2.665873327160153,-39.094677883671494,25.0
20D,HG,cheap,2024-03-06 14:30:00+00:00,2024-03-07 13:30:00+00:00,23,3.7727255671640605,57.96611569540339,-2.5506017739244293,-41.94165476759715,23.0
20D,HG,cheap,2024-03-07 15:30:00+00:00,2024-03-07 21:30:00+00:00,7,2.789829127793455,48.43629429718083,-2.6544697746457118,-46.70383637931985,6.0
20D,HG,rich,2024-03-20 00:30:00+00:00,2024-03-20 08:30:00+00:00,9,4.8400662934989,34.4970520825566,2.6893643210006943,19.168155026129398,8.0
20D,HG,rich,2024-03-20 19:30:00+00:00,2024-03-22 08:30:00+00:00,36,5.789181807079624,41.26177085269717,3.296254685087621,29.271953194320577,37.0
20D,HG,rich,2024-03-22 10:30:00+00:00,2024-03-22 10:30:00+00:00,1,3.1053925790325385,28.319343531932883,3.1053925790325385,28.319343531932883,0.0
20D,HG,rich,2024-03-22 13:30:00+00:00,2024-03-22 20:30:00+00:00,8,3.5327647534844338,34.93997403016286,2.8935602608546986,32.04281578251145,7.0
20D,HG,rich,2024-03-24 22:30:00+00:00,2024-03-25 08:30:00+00:00,11,4.34255902029885,33.9893050407139,2.790627721467792,21.84230460349934,10.0
20D,HG,rich,2024-03-25 13:30:00+00:00,2024-03-25 13:30:00+00:00,1,2.5161629711228595,19.694062961004565,2.5161629711228595,19.694062961004565,0.0
20D,HG,cheap,2024-03-28 06:30:00+00:00,2024-03-28 20:30:00+00:00,15,4.27211300720323,35.93819011183525,-3.1709621565483754,-32.96986806684388,14.0
20D,HG,cheap,2024-03-31 22:30:00+00:00,2024-04-01 01:30:00+00:00,4,3.449639087975712,32.76713979333684,-2.526909610155016,-25.04526066885421,3.0
20D,HG,cheap,2024-04-01 05:30:00+00:00,2024-04-01 05:30:00+00:00,1,2.640345048102399,28.743360566729216,-2.640345048102399,-28.743360566729216,0.0
20D,HG,cheap,2024-04-01 08:30:00+00:00,2024-04-01 08:30:00+00:00,1,2.513247186050887,29.98902815391863,-2.513247186050887,-29.98902815391863,0.0
20D,HG,cheap,2024-04-01 12:30:00+00:00,2024-04-01 15:30:00+00:00,4,3.233721611401153,39.78310103760069,-2.818221690419917,-36.374212559001364,3.0
20D,HG,cheap,2024-04-02 01:30:00+00:00,2024-04-02 02:30:00+00:00,2,2.6244039299870106,39.218670414610244,-2.545605781178788,-38.425014013099556,1.0
20D,HG,cheap,2024-04-02 14:30:00+00:00,2024-04-02 14:30:00+00:00,1,2.8106901150082773,48.084470298835335,-2.8106901150082773,-48.084470298835335,0.0
20D,HG,cheap,2024-04-02 16:30:00+00:00,2024-04-03 00:30:00+00:00,8,3.1920835626133157,57.60914256872862,-2.653614696266104,-49.46080990068491,8.0
20D,HG,rich,2024-04-05 12:30:00+00:00,2024-04-05 13:30:00+00:00,2,2.7298122790435033,66.1962349687864,2.7298122790435033,66.1962349687864,1.0
