date,spd_velocity,top_eigen_share,effective_rank,average_correlation,edge_persistence,stable,transition,spd_velocity_q40,spd_velocity_q80,edge_persistence_q60
2011-08-30,0.024839825714946175,0.3957562493179946,5.4120224533185155,0.3113122963114496,0.8,False,False,0.02616959855222537,0.05238416093163896,1.0
2011-08-31,0.027750668550964978,0.3941802783036554,5.412151696740511,0.309679894202052,0.8,False,False,0.02605311890613393,0.052230003513820795,1.0
2011-09-01,0.03998839022809544,0.39488200649651284,5.401226119096877,0.31031445235029764,1.0,False,False,0.026115552268125307,0.05207584609600263,1.0
2011-09-02,0.025095029321815728,0.3956955212883222,5.4047994967571125,0.3115764142349222,1.0,True,False,0.02622364483632543,0.05169127732478587,1.0
2011-09-04,0.10492785346374937,0.3934634748927389,5.418664169156125,0.3082269275452517,1.0,False,True,0.02608433558712962,0.051306708553569086,1.0
2011-09-05,0.013502909051584045,0.3930306486525137,5.417920798228581,0.30758629019653244,1.0,True,False,0.02616959855222537,0.05238416093163896,1.0
2011-09-06,0.09497835441482542,0.40003346123230643,5.439610087248833,0.31339436000069987,1.0,False,True,0.02605311890613393,0.052230003513820795,1.0
2011-09-07,0.03856018914301986,0.3986077543893418,5.447802975267114,0.3112830206681737,1.0,False,False,0.026115552268125307,0.052846633185093445,1.0
2011-09-08,0.06814675294758822,0.399113731738548,5.460277619036196,0.3108920282188291,1.0,False,True,0.02622364483632543,0.05269247576727529,1.0
2011-09-09,0.07225317746749764,0.3966975901672263,5.474386538255133,0.3068500732008036,1.0,False,True,0.026331737404525553,0.05285579396945959,1.0
2011-09-11,0.0621664875060467,0.3996953804500986,5.440337385573685,0.31046683579854695,1.0,False,True,0.02651278285397924,0.0529718277387886,1.0
2011-09-12,0.04014491950620728,0.39755066090685803,5.468000619486205,0.3067307926917787,1.0,False,False,0.026766781184686488,0.05327857067111621,1.0
2011-09-13,0.055928602946377234,0.39605269119500275,5.473383900774167,0.30442140123521577,1.0,False,True,0.02702077951539374,0.05313671760841596,1.0
2011-09-14,0.02273765564014478,0.39589925953995797,5.479312081775723,0.30435078128140386,1.0,True,False,0.027110237024871614,0.053704129859216944,1.0
2011-09-15,0.035117124949261246,0.39435143969199676,5.486864611008212,0.30323706494450264,1.0,False,False,0.026893780350040117,0.0535622767965167,1.0
2011-09-16,0.03944375851976265,0.3927600765939816,5.491459963442714,0.30072899394534636,1.0,False,False,0.02706550827013268,0.053420423733816454,1.0
2011-09-18,0.032724763807117564,0.3891784315726023,5.513884345412978,0.29680669165504797,1.0,False,False,0.02715496577961055,0.05327857067111621,1.0
2011-09-19,0.010357990098553553,0.38912798768426704,5.5130292227664635,0.2966124367625233,1.0,True,False,0.027244423289088424,0.05313671760841596,1.0
2011-09-20,0.049964777639521764,0.3916532216306287,5.490836397656526,0.3012335751873701,1.0,False,False,0.027110237024871614,0.053081754318540175,1.0
2011-09-21,0.012590224540175343,0.39177474889555847,5.493265479230217,0.30147380690509795,1.0,True,False,0.027199694534349488,0.05302679102866439,1.0
2011-09-22,0.06900435311532481,0.3918397720526027,5.508270759911159,0.3019573002490365,1.0,False,True,0.02706550827013268,0.0529718277387886,1.0
2011-09-23,0.10802202443022384,0.3984919774426266,5.426399382099456,0.3130828618116389,1.0,False,True,0.02715496577961055,0.05327857067111621,1.0
2011-09-25,0.1797708257371104,0.3853406820493476,5.429261107518653,0.30068499903452583,0.8,False,True,0.027244423289088424,0.05384598292191718,1.0
2011-09-26,0.028546903583831454,0.3843690071838002,5.428359925778889,0.29982870503043973,1.0,False,False,0.027446921393839047,0.05551207894148525,1.0
2011-09-27,0.06898243532148969,0.384242674321655,5.4356949646863395,0.29907343989902047,1.0,False,True,0.027649419498589668,0.05509555493659323,1.0
2011-09-28,0.03444888990940949,0.38607885225359234,5.4268779590289205,0.30171029969155216,1.0,False,False,0.027751784940108503,0.057273747991802446,1.0
