root,horizon,test_start,test_end,train_rows,test_rows,train_target_mean,train_target_std,train_pred_std,test_pred_std,train_r2,threshold_q80,threshold_q90,threshold_q95
HG,1d,2025-12-13 00:00:00+00:00,2026-03-13 00:00:00+00:00,26923,1613,0.002397834511902054,0.0370972714604904,0.02847217683587665,0.018036089301693415,0.8090047071443636,0.018164871270457593,0.0322392633980792,0.05121075923344432
HG,1d,2026-03-13 00:00:00+00:00,2026-06-11 00:00:00+00:00,24887,2250,0.0011675701547862406,0.038250303489345744,0.02966247722791118,0.011280344480552689,0.8108592266421601,0.01804035316823614,0.032921619509962696,0.05278508791415748
HG,1d,2026-06-11 00:00:00+00:00,2026-06-21 23:55:00+00:00,23116,260,0.0026044051256256927,0.03738055823612456,0.028729820235271313,0.010652410621190765,0.806137583802963,0.016175258538963934,0.028884168627584465,0.05032612320712902
PL,15m,2024-06-21 00:00:00+00:00,2024-09-19 00:00:00+00:00,31106,10844,3.7025471982006185e-06,0.002328308628463055,9.506958295700848e-05,6.585199278518668e-05,0.02152026323657108,6.17882370818819e-05,0.00011210199545142533,0.00019224156027763337
PL,15m,2024-09-19 00:00:00+00:00,2024-12-18 00:00:00+00:00,36951,10021,-1.1377018615648122e-06,0.002228978149104286,8.066885787784277e-05,6.612579398943293e-05,0.017282415409239693,7.047525175632411e-05,0.0001255317813595503,0.00018212393732492966
PL,15m,2024-12-18 00:00:00+00:00,2025-03-18 00:00:00+00:00,38497,9217,-4.526544224793414e-06,0.0021823529126821007,7.713773190176445e-05,7.132727808233453e-05,0.016342497677903856,5.0443228516601425e-05,9.818484308803784e-05,0.0001580802736221824
PL,15m,2025-03-18 00:00:00+00:00,2025-06-16 00:00:00+00:00,40414,11112,3.7659600623561826e-06,0.0021621407281348457,7.209543855927657e-05,8.307954847095463e-05,0.01465118414815747,4.555595531896639e-05,9.056294754378671e-05,0.00014181039926525798
PL,15m,2025-06-16 00:00:00+00:00,2025-09-14 00:00:00+00:00,42104,11604,1.4590738773193614e-05,0.00218702920533095,7.44075745310504e-05,0.00013905247982840625,0.015167830120126569,3.5718824291449834e-05,7.720931636573782e-05,0.00013272275442114336
PL,15m,2025-09-14 00:00:00+00:00,2025-12-13 00:00:00+00:00,42653,12666,2.1096751125071266e-05,0.0024297425479777074,8.74108537006817e-05,0.00015071391997645162,0.01571669103037243,6.154964200728974e-05,9.067374156058936e-05,0.00014455996451928155
PL,15m,2025-12-13 00:00:00+00:00,2026-03-13 00:00:00+00:00,45278,12558,3.944252344424397e-05,0.0027121556802527595,0.00011003712586925319,0.00032224450709105866,0.017516513676771428,7.696410250071234e-05,0.00010104765577970605,0.00015384925847676341
PL,15m,2026-03-13 00:00:00+00:00,2026-06-11 00:00:00+00:00,48608,9017,4.402954039084039e-05,0.004055393481458733,0.00021510757120546596,0.0001864895325910095,0.029880661953401777,5.504322087464589e-05,8.414128874070022e-05,0.0002785986267823869
PL,15m,2026-06-11 00:00:00+00:00,2026-06-21 23:55:00+00:00,46628,1461,1.6457797274105803e-05,0.0044486976850345115,0.00020169076213248999,9.281526682441927e-05,0.023893753432363662,5.286193013537147e-05,0.00011952815064744607,0.0002781238861013822
PL,1h,2024-06-21 00:00:00+00:00,2024-09-19 00:00:00+00:00,31102,10844,1.4614519200273416e-05,0.004675559634502289,0.0008625741995320293,0.0006686754184908537,0.1769446344538077,0.0008337699115909951,0.001323067778730028,0.0018779350088292822
PL,1h,2024-09-19 00:00:00+00:00,2024-12-18 00:00:00+00:00,36944,10021,-4.506912283840215e-06,0.004476872938600495,0.0007535751156869558,0.0005478748771692709,0.15285633309965496,0.00067310548501619,0.0010942300247961776,0.0016126483644343034
PL,1h,2024-12-18 00:00:00+00:00,2025-03-18 00:00:00+00:00,38493,9217,-1.8693410219131483e-05,0.004338724465085366,0.0006170328409971406,0.0005645690040688841,0.11760554746470064,0.0005632736973391305,0.0009181010504566916,0.0013345030708819669
PL,1h,2025-03-18 00:00:00+00:00,2025-06-16 00:00:00+00:00,40408,11112,1.5493445151156532e-05,0.004265836494754338,0.000525885650332056,0.0007977509237827264,0.09247918105704833,0.0004787976491123505,0.0007929864181623602,0.0011464703610242876
PL,1h,2025-06-16 00:00:00+00:00,2025-09-14 00:00:00+00:00,42096,11604,5.810844678454852e-05,0.004296617018810838,0.0006117256105183408,0.0011605995365661995,0.12669887794459456,0.00046047638545836317,0.0007714140545025539,0.0011625945746176587
PL,1h,2025-09-14 00:00:00+00:00,2025-12-13 00:00:00+00:00,42653,12666,8.581097804374475e-05,0.004812447574474119,0.0007870958992869896,0.0010385383366719285,0.1439441632050189,0.0005978119217227359,0.0010121149227699114,0.0015613991531634602
PL,1h,2025-12-13 00:00:00+00:00,2026-03-13 00:00:00+00:00,45278,12558,0.00015711736290361053,0.005393562373704253,0.0011217422883803337,0.002918903198813461,0.17966578058672233,0.0007947927374398043,0.001352349531884751,0.00213385416563101
PL,1h,2026-03-13 00:00:00+00:00,2026-06-11 00:00:00+00:00,48606,9017,0.00017709537560904481,0.008087813001532716,0.0027047057111819054,0.0014869042539690208,0.30187713681559947,0.0010199948306545267,0.002173176472174255,0.0039970157139910915
PL,1h,2026-06-11 00:00:00+00:00,2026-06-21 23:55:00+00:00,46624,1461,6.648070540618487e-05,0.00884678141220978,0.002723711852529948,0.0010161763884769803,0.27405097362910513,0.001190538594596989,0.002288069695480829,0.004210180231443609
PL,4h,2024-06-21 00:00:00+00:00,2024-09-19 00:00:00+00:00,31082,10844,4.890192246490029e-05,0.009408664054192096,0.0033602155334495096,0.0022546300572049574,0.3946143851986301,0.0038631238821165907,0.005406777759260195,0.006944113849461529
PL,4h,2024-09-19 00:00:00+00:00,2024-12-18 00:00:00+00:00,36922,10021,-1.6450977885048903e-05,0.008999769768400962,0.0028904831002385728,0.0021838274605853036,0.3370296142840732,0.0031930402840226664,0.004565376265683094,0.006047711343004028
PL,4h,2024-12-18 00:00:00+00:00,2025-03-18 00:00:00+00:00,38480,9217,-7.303809362923322e-05,0.008711472450257121,0.0026265492211131306,0.002637161503882126,0.3220250649750469,0.0028665457365225416,0.0040895284615047305,0.005495902662897892
PL,4h,2025-03-18 00:00:00+00:00,2025-06-16 00:00:00+00:00,40395,11112,6.585050181282583e-05,0.008591588055591402,0.0026488136785379683,0.0033954891673014112,0.3184520162524863,0.0027844440644867385,0.0041426719114919805,0.005610707949868055
PL,4h,2025-06-16 00:00:00+00:00,2025-09-14 00:00:00+00:00,42085,11604,0.00023001607035372704,0.008634927968498924,0.002864080006193508,0.0036797545440771613,0.32907254305123723,0.0025823921025936994,0.004012512574792643,0.00578938471012021
PL,4h,2025-09-14 00:00:00+00:00,2025-12-13 00:00:00+00:00,42653,12666,0.00034434483021081016,0.009676813435996367,0.0032248235370193694,0.002931284629067217,0.35248894601984626,0.002883094401700654,0.004599363845569204,0.006718415503014134
PL,4h,2025-12-13 00:00:00+00:00,2026-03-13 00:00:00+00:00,45261,12558,0.000626923670457562,0.01063066441107737,0.0037062455013542597,0.005072300427868891,0.3586822425538966,0.003319136392053151,0.0052663996347639686,0.007808181648241107
PL,4h,2026-03-13 00:00:00+00:00,2026-06-11 00:00:00+00:00,48595,9017,0.000709853364761529,0.01575433982808495,0.007074762391431526,0.003723288839351737,0.4463453758998086,0.0035114028950323085,0.00711839420342538,0.012630954565616947
PL,4h,2026-06-11 00:00:00+00:00,2026-06-21 23:55:00+00:00,46610,1461,0.0002695332803050614,0.017193225066026788,0.007117384704266914,0.001932814307540857,0.4168183903994672,0.004151962521218284,0.007425958043084068,0.012287574295221121
PL,1d,2024-06-21 00:00:00+00:00,2024-09-19 00:00:00+00:00,30854,10844,0.00033550084948692375,0.023778014835088786,0.012953760157310703,0.009691152892925894,0.5703333236178809,0.015194592735627045,0.020487739439110197,0.026405593278769075
PL,1d,2024-09-19 00:00:00+00:00,2024-12-18 00:00:00+00:00,36712,10021,-2.900379392030525e-05,0.021664370987330338,0.010744335558338295,0.007123723024352515,0.5128629639066853,0.012296367944809882,0.016986899941205294,0.02207515337378384
PL,1d,2024-12-18 00:00:00+00:00,2025-03-18 00:00:00+00:00,38269,9217,-0.0005007103584864635,0.020645986152663765,0.010373517771917985,0.012173493472462809,0.5130900338093277,0.011681749542739763,0.01588991089835357,0.021151661478469388
PL,1d,2025-03-18 00:00:00+00:00,2025-06-16 00:00:00+00:00,40194,11112,0.00044610350601436354,0.021306867231604843,0.009859743961957518,0.013505528706468083,0.4742500358849021,0.01134130542454868,0.01532521982054436,0.020415088228787175
PL,1d,2025-06-16 00:00:00+00:00,2025-09-14 00:00:00+00:00,42085,11604,0.0014320723664511662,0.021811918281408212,0.010623362923325256,0.012991056468094531,0.4979139569447497,0.009822670385990146,0.015582462546433992,0.023516083276692676
PL,1d,2025-09-14 00:00:00+00:00,2025-12-13 00:00:00+00:00,42653,12666,0.0021194979287890055,0.023771512129443027,0.012577005634893721,0.01348724267518703,0.5467042622892191,0.01258236006359994,0.02008708563008057,0.028213086285611064
PL,1d,2025-12-13 00:00:00+00:00,2026-03-13 00:00:00+00:00,45048,12558,0.003771233566129182,0.025689902172240403,0.01318793447747948,0.0239387917180698,0.5598709905331226,0.015047848207150155,0.02171371557674801,0.02959933522850805
PL,1d,2026-03-13 00:00:00+00:00,2026-06-11 00:00:00+00:00,48415,9017,0.004242869303402928,0.03927389073589466,0.022899206370770968,0.010356124342896187,0.6151083128698815,0.018259210528032966,0.03083868923772029,0.04412854884606281
PL,1d,2026-06-11 00:00:00+00:00,2026-06-21 23:55:00+00:00,46444,1461,0.0015380227910473368,0.04215705942657665,0.02338218804918882,0.007496520877118373,0.5708772714011019,0.018463418816369863,0.03111340990212021,0.042925142261773276
PA,15m,2024-06-21 00:00:00+00:00,2024-09-19 00:00:00+00:00,7909,3321,-0.00011848211273443811,0.007286074363078486,0.002691370261136293,0.0017711691956584735,0.44460882836031435,0.002142986418479549,0.003769506188515012,0.0060263738977897096
PA,15m,2024-09-19 00:00:00+00:00,2024-12-18 00:00:00+00:00,9666,3237,-7.44306316261564e-05,0.007173432697378411,0.00235798512489362,0.0014804825071476932,0.3924708846009406,0.0019437167608607375,0.0034022821996548915,0.005156395147558016
PA,15m,2024-12-18 00:00:00+00:00,2025-03-18 00:00:00+00:00,10958,2633,-8.125381710416257e-05,0.006620935734754536,0.0007291507730149805,0.0005253481441508699,0.10023151779382145,0.0006622081564381421,0.0011713846562250965,0.0017061268478926186
PA,15m,2025-03-18 00:00:00+00:00,2025-06-16 00:00:00+00:00,11621,2312,-3.174211086325942e-05,0.005962617400969626,0.0008052935597185704,0.0008565546694687486,0.1261138972775202,0.0007428671833033201,0.0012372753409109361,0.0018168816635565667
PA,15m,2025-06-16 00:00:00+00:00,2025-09-14 00:00:00+00:00,11525,3529,4.094305336077084e-05,0.005758932779762385,0.0007491410683916403,0.0008764585214592443,0.11178964154709925,0.0006440746673262855,0.0011327579746867517,0.0017228274925019237
PA,15m,2025-09-14 00:00:00+00:00,2025-12-13 00:00:00+00:00,11809,4252,2.4131445214322247e-05,0.005831043511401596,0.0008533289973655837,0.0009308367782371048,0.14426583118491454,0.0008750866969699836,0.0013736067388651384,0.0019196543754175681
PA,15m,2025-12-13 00:00:00+00:00,2026-03-13 00:00:00+00:00,12792,4802,9.750738097494079e-05,0.006146909157479009,0.0005681075214873262,0.0007612121479937621,0.08058524630268293,0.0005520991866671976,0.0009013615667358338,0.0013021155861312973
PA,15m,2026-03-13 00:00:00+00:00,2026-06-11 00:00:00+00:00,14936,3082,9.677141804357541e-05,0.007539508396290854,0.0012864913642643228,0.0010565076124091938,0.1446019077865247,0.0009190130354104826,0.001663020635484765,0.0027199538358253137
PA,15m,2026-06-11 00:00:00+00:00,2026-06-21 23:55:00+00:00,15735,173,1.3070381411532615e-05,0.007816534607624555,0.0011668232484468794,0.001274455757231418,0.12150073301651099,0.0007532424085138335,0.0014899028649601879,0.0025044874109157317
PA,1h,2024-06-21 00:00:00+00:00,2024-09-19 00:00:00+00:00,7909,3321,-0.00044705698256682135,0.014143605750294217,0.007597647475500735,0.004708902332197257,0.6223894203200984,0.006385614965716842,0.011119684824016847,0.016702847269510664
PA,1h,2024-09-19 00:00:00+00:00,2024-12-18 00:00:00+00:00,9666,3237,-0.00027742397321055983,0.0141557978325947,0.006962209833916525,0.004104727665021837,0.5707978662424209,0.005916471304985069,0.010071460060443956,0.014988217264635773
PA,1h,2024-12-18 00:00:00+00:00,2025-03-18 00:00:00+00:00,10958,2633,-0.00034611575968585516,0.013008077111283062,0.0055785488149159386,0.00320142864411209,0.49242265978803557,0.004873427172041808,0.007967864934749939,0.012213533301427201
PA,1h,2025-03-18 00:00:00+00:00,2025-06-16 00:00:00+00:00,11621,2312,-0.00010637470389844394,0.011759414629022242,0.005135612006020623,0.004488323218592271,0.49786109984416993,0.004718176103520678,0.007430255466003749,0.01119960734860631
