root,horizon,threshold,gross_return,cost_return,net_return,ann_return,ann_vol,sharpe,tstat,max_drawdown,mean_exposure,mean_turnover,gross_to_cost,bars
SI,1d,q90,-0.21774403217441618,0.4875677696766861,-0.705311801851102,-0.23462216359391166,0.24212133125474458,-0.9690272326607078,-1.6801267249934557,-0.7206244690355473,0.15851421776968225,0.008247318356607974,-0.44659234206314685,316224
HG,1h,q90,-0.27032573753799216,0.4464542980628228,-0.7167800356008154,-0.238437074684151,0.16919912167873544,-1.409209884297628,-2.443327811574912,-0.7773883651182283,0.20713481582675572,0.017639394859340216,-0.6054947588385705,316224
PL,4h,q95,0.027461708675995844,0.8258573845286308,-0.7983956758526347,-0.265586539713274,0.10940613383714914,-2.4275287901919573,-4.208917828752695,-0.838761424859201,0.034668462861768876,0.010188979963570127,0.033252361957954744,316224
PA,15m,q95,0.1716599617342336,0.9761327615140781,-0.8044727997798443,-0.26760809664807667,0.13681273637792135,-1.956017427418862,-3.3913981399014532,-0.8630399281344794,0.042795613236187004,0.00551824023477029,0.17585718715963602,316224
HG,15m,q90,-0.16563400501029335,0.6435088842640903,-0.809142889274384,-0.269161603194416,0.181260179723197,-1.4849461343658248,-2.5746414563328393,-0.8479760399290954,0.23908052519732848,0.02542501517911354,-0.2573919475870339,316224
PA,1h,q90,0.2714819021660668,1.1070296475853068,-0.8355477454192397,-0.2779451858054438,0.17124492385799356,-1.6230856923731791,-2.814151715038028,-0.9028979640568711,0.0605678253390002,0.0062582220198340414,0.24523453618268762,316224
SI,1h,q95,-0.5058576667427306,0.37838848382883916,-0.8842461505715693,-0.2941447235849414,0.26535730408908237,-1.1084854988057722,-1.9219233970314773,-0.9357456328913281,0.09510030864197531,0.006400526209269379,-1.336873843580163,316224
HG,15m,q80,0.10642197736141235,1.0838802625254118,-0.9774582851640001,-0.3251517656249099,0.2022299313505273,-1.607832052621928,-2.7877045245611094,-1.017964074077994,0.33046827565270187,0.04282407407407408,0.098186101399662,316224
PL,1d,q95,0.3040045185381013,1.3984723432613935,-1.0944678247232917,-0.36407502092912775,0.13997730640646022,-2.600957471434277,-4.5096133638364,-1.2063822069522612,0.0711267961951022,0.017253592390204412,0.2173832897039128,316224
HG,1h,q80,-0.3167195007261603,0.8156715223302667,-1.1323910230564278,-0.3766901832161751,0.20644808147168833,-1.824624285829623,-3.1635850081086705,-1.1928813495093529,0.323368877757539,0.03222715543412265,-0.3882929488838033,316224
