strategy,root,side,event_count,normalized_fraction,hit_rate,mean_trade_return_bp,median_trade_return_bp,p10_trade_return_bp,p90_trade_return_bp,mean_duration_hours,median_duration_hours,mean_mfe_bp,mean_mae_bp,trade_tstat
event_252D_pure,HG,short_rich,4,1.0,0.75,-11.805279847348494,60.47869696404839,-180.55270987902253,99.11496873520804,1310.3333333333333,595.5833333333333,63.296228416919796,-121.36565706486002,-0.13294442127912856
event_252D_pure,SI,long_cheap,9,0.8888888888888888,0.3333333333333333,-102.99087525391798,-33.29775170672243,-427.3940243016748,149.1461632118036,2878.759259259259,3034.25,93.05795689534112,-267.9865003012074,-1.0540343021212135
event_252D_pure,PL,short_rich,8,1.0,0.625,-159.83050292441746,54.44371593843729,-766.2344967627331,146.9748581507048,2877.21875,2184.125,100.28614107739915,-436.43582324714424,-0.9977928448433292
event_252D_pure,PA,short_rich,9,1.0,0.5555555555555556,-222.77447484115388,56.83239687297543,-1091.9406555367098,291.182791440022,2534.092592592593,2447.0,147.84216217551042,-488.0377164293268,-1.0264564285285518
event_60D_agree_120D,SI,short_rich,20,1.0,0.75,34.00306161709166,41.85370006451342,-27.55393274542622,98.5109333999595,451.2041666666667,475.5,58.696202939093666,-69.99210614073937,2.229237285704217
event_60D_agree_120D,HG,short_rich,27,1.0,0.7777777777777778,17.52203484764605,27.322689427412215,-86.12213146076493,75.01793597211949,377.01234567901236,264.0,41.30498483070052,-58.34945998829303,1.4104345563586673
event_60D_agree_120D,GC,short_rich,29,1.0,0.7931034482758621,14.091394540176426,23.670307608985343,-31.44928513151391,48.54111758149676,418.38505747126436,355.0,30.820444848870892,-34.06821594122143,1.6484528110090653
event_60D_agree_120D,PL,long_cheap,22,1.0,0.7727272727272727,5.69766739105983,43.15185301077226,-65.80892514381763,80.90908351286937,472.00378787878793,369.5,52.066965557364476,-115.05309358145054,0.1937530929443103
event_60D_agree_120D,PA,long_cheap,26,1.0,0.6538461538461539,-3.5722500308690304,51.02588091553148,-222.2412230659982,135.74275919252514,579.2051282051282,385.25,78.36662865509383,-134.42757727432343,-0.10367715064350035
event_60D_agree_120D,HG,long_cheap,27,1.0,0.5555555555555556,-5.0658534592271485,18.797987378331573,-94.41157611538885,101.09599365490426,579.9166666666666,574.5,58.16740247211068,-99.21776184640196,-0.20785658505308982
event_60D_agree_120D,GC,long_cheap,28,1.0,0.4642857142857143,-5.788739976323769,-4.35477262074553,-71.80554542675283,48.00389822653123,666.842261904762,703.0,24.87255883028347,-52.7876877050978,-0.6811752219224217
event_60D_agree_120D,SI,long_cheap,34,1.0,0.6764705882352942,-35.22691702999694,26.909821881714528,-127.65871297769644,69.15200098671197,567.2426470588235,411.25,38.35891552056391,-119.99733969253296,-1.1231703361741023
event_60D_agree_120D,PL,short_rich,26,1.0,0.5384615384615384,-65.52905051448496,19.07028220642972,-354.4380507708428,112.78161428426563,719.5256410256409,578.7083333333333,58.35989210754744,-189.82616632566993,-1.4203898539513122
event_60D_agree_120D,PA,short_rich,23,1.0,0.391304347826087,-149.74071625144842,-45.85339379696601,-349.16006609736064,131.26962138722575,782.8985507246377,666.0,72.56769215860615,-305.18540253889853,-1.4622134527201265
