window,root,side,start_ts,end_ts,observations,max_abs_z,max_abs_deviation_bp,latest_z,latest_deviation_bp,duration_hours
20D,GC,cheap,2017-10-20 15:00:00+00:00,2017-10-20 15:00:00+00:00,1,2.5926672757790468,13.774052312209486,-2.5926672757790468,-13.774052312209486,0.0
20D,GC,cheap,2017-10-20 17:00:00+00:00,2017-10-20 20:00:00+00:00,4,3.051128238118291,16.52035809138166,-2.898067427459714,-15.755762557509694,3.0
20D,GC,cheap,2017-10-22 22:00:00+00:00,2017-10-27 20:00:00+00:00,115,10.359185789014674,68.07832634849596,-5.439310110624376,-66.33160473992957,118.0
20D,GC,cheap,2017-10-29 22:00:00+00:00,2017-10-31 04:00:00+00:00,30,4.662619726644496,66.47579281635814,-2.5234953623526217,-62.52362362829241,30.0
20D,GC,rich,2017-11-15 08:00:00+00:00,2017-11-15 12:00:00+00:00,5,2.6449859182645277,22.389382819087647,2.5350942961551555,21.51054995162882,4.0
20D,GC,rich,2017-11-23 11:00:00+00:00,2017-11-23 12:00:00+00:00,2,2.756834905888881,14.454857645166946,2.756834905888881,14.454857645166946,1.0
20D,GC,rich,2017-11-23 14:00:00+00:00,2017-11-23 14:00:00+00:00,1,2.5025886523679124,13.163104051951805,2.5025886523679124,13.163104051951805,0.0
20D,GC,cheap,2017-12-15 18:15:00+00:00,2017-12-15 18:15:00+00:00,1,2.5134814219659116,14.25277632442646,-2.5134814219659116,-14.25277632442646,0.0
20D,GC,cheap,2017-12-15 20:15:00+00:00,2017-12-15 20:15:00+00:00,1,2.568421664555886,15.083053520928424,-2.568421664555886,-15.083053520928424,0.0
20D,GC,cheap,2017-12-17 23:15:00+00:00,2017-12-18 08:15:00+00:00,10,3.636097604637048,18.522758473369162,-2.5031822188227744,-13.146521082312082,9.0
20D,GC,rich,2017-12-28 05:15:00+00:00,2017-12-28 06:15:00+00:00,2,2.5715821916526127,16.45375052037703,2.5715821916526127,16.45375052037703,1.0
20D,GC,rich,2017-12-28 14:15:00+00:00,2017-12-28 17:15:00+00:00,4,2.748893986422207,17.631288762101764,2.748893986422207,17.631288762101764,3.0
20D,GC,rich,2017-12-28 19:15:00+00:00,2017-12-28 19:15:00+00:00,1,2.5502359192011186,16.166434693806533,2.5502359192011186,16.166434693806533,0.0
20D,GC,rich,2017-12-28 21:15:00+00:00,2017-12-28 21:15:00+00:00,1,2.561003217861821,16.13072797185514,2.561003217861821,16.13072797185514,0.0
20D,GC,rich,2017-12-29 01:15:00+00:00,2017-12-29 21:15:00+00:00,21,3.3971849035111745,22.696740627856112,3.262867291483095,22.05595516433779,20.0
20D,GC,rich,2018-01-01 23:15:00+00:00,2018-01-02 14:15:00+00:00,16,4.279567728580818,22.441532774167342,2.6777405409022577,14.277806963550708,15.0
20D,GC,cheap,2018-01-09 17:10:00+00:00,2018-01-09 17:10:00+00:00,1,2.6723089831797906,27.407859766667258,-2.6723089831797906,-27.407859766667258,0.0
20D,GC,cheap,2018-01-25 09:05:00+00:00,2018-01-25 09:05:00+00:00,1,2.593526633287981,16.12173036245314,-2.593526633287981,-16.12173036245314,0.0
20D,GC,cheap,2018-01-29 23:05:00+00:00,2018-01-30 02:05:00+00:00,4,2.956811523078606,23.550959317190888,-2.623851882869093,-20.898940789923977,3.0
20D,GC,cheap,2018-02-06 07:05:00+00:00,2018-02-09 21:05:00+00:00,84,4.528185123310069,55.73957849307701,-3.265513050554439,-46.97275370224557,86.0
20D,GC,cheap,2018-02-11 23:05:00+00:00,2018-02-12 14:05:00+00:00,16,3.4887115379226676,47.38381817124205,-2.786343535426371,-40.8028937643921,15.0
20D,GC,cheap,2018-02-12 17:05:00+00:00,2018-02-13 16:05:00+00:00,23,3.190185755355822,49.246332705910504,-2.5164011591398765,-43.08241963437126,23.0
20D,GC,rich,2018-02-27 23:05:00+00:00,2018-03-01 19:05:00+00:00,44,4.4825676524741205,30.01608924527121,2.7628650931346135,18.25030779250156,44.0
20D,GC,rich,2018-03-02 11:05:00+00:00,2018-03-02 21:05:00+00:00,11,3.6168992590931444,26.25827225062584,3.1237777097297665,22.853986906966778,10.0
20D,GC,rich,2018-03-04 23:05:00+00:00,2018-03-05 12:05:00+00:00,14,3.7376286690816567,31.550648627741673,2.6910989522439435,24.58500594803327,13.0
20D,GC,rich,2018-03-05 15:05:00+00:00,2018-03-05 15:05:00+00:00,1,2.6856424383809787,26.738513600639003,2.6856424383809787,26.738513600639003,0.0
20D,GC,rich,2018-03-19 14:05:00+00:00,2018-03-19 18:05:00+00:00,5,2.8743520623484087,16.926843891866135,2.6942660552608055,15.861145869225865,4.0
20D,GC,rich,2018-03-21 16:05:00+00:00,2018-03-21 16:05:00+00:00,1,2.5075863193409105,20.99229882284795,2.5075863193409105,20.99229882284795,0.0
20D,GC,rich,2018-03-23 15:05:00+00:00,2018-03-23 16:05:00+00:00,2,2.623244443529631,27.846343456814775,2.5073225048866106,26.720084624018217,1.0
20D,GC,rich,2018-04-12 12:05:00+00:00,2018-04-13 11:05:00+00:00,23,4.4119663753081175,49.347376352842055,2.902996721853471,33.189783662312884,23.0
20D,GC,rich,2018-04-13 13:05:00+00:00,2018-04-13 20:05:00+00:00,8,3.3423194879436973,39.864891642321275,3.1327327323189444,39.54445844898076,7.0
20D,GC,rich,2018-04-15 22:05:00+00:00,2018-04-18 00:05:00+00:00,49,3.9535035790013087,43.850190114619636,2.900656804394352,36.65436841124227,50.0
20D,GC,rich,2018-04-18 08:05:00+00:00,2018-04-18 11:05:00+00:00,4,2.813484415612464,39.362680877679765,2.688878351324199,39.362680877679765,3.0
20D,GC,cheap,2018-05-11 01:35:00+00:00,2018-05-11 07:35:00+00:00,7,3.42464557543983,26.150529041724795,-2.817669741231195,-22.176000794525525,6.0
20D,GC,cheap,2018-05-11 13:35:00+00:00,2018-05-11 20:35:00+00:00,8,3.1141996099442077,26.30305814541982,-2.925882601893998,-25.77906478865792,7.0
20D,GC,cheap,2018-05-13 22:30:00+00:00,2018-05-14 23:30:00+00:00,25,3.173832999631366,25.453802626501098,-2.7000494458624753,-20.71478976018757,25.0
20D,GC,rich,2018-05-17 22:30:00+00:00,2018-05-17 22:30:00+00:00,1,2.5022222820677955,24.038754670702296,2.5022222820677955,24.038754670702296,0.0
20D,GC,rich,2018-05-18 01:30:00+00:00,2018-05-18 02:30:00+00:00,2,2.568730021774964,25.899513314090218,2.5683918664759866,25.899513314090218,1.0
20D,GC,rich,2018-05-18 12:30:00+00:00,2018-05-18 20:30:00+00:00,9,3.22341829036448,36.348517920169016,3.2161444807908475,36.26985549356084,8.0
20D,GC,rich,2018-05-20 22:30:00+00:00,2018-05-21 11:30:00+00:00,14,3.153910396696797,37.335502001760794,2.679859593172991,28.805511512786964,13.0
20D,GC,cheap,2018-06-13 13:10:00+00:00,2018-06-15 20:10:00+00:00,54,4.307833865192743,59.08122847274912,-3.1058480569151583,-49.346758812444904,55.0
20D,GC,cheap,2018-06-17 22:05:00+00:00,2018-06-18 23:00:00+00:00,25,3.2066030093025892,51.10120173424975,-2.8372100782582783,-47.22413752898745,24.916666666666668
