variant,target_months,lookback,lookback_bars,score_method,entry_threshold,exit_threshold,funding_scaled_filter,cost_multiplier,split,observations,active_fraction,gross_excess_return,price_return,carry_return,cost_return,net_return,annualized_net_return,sharpe,tstat,max_drawdown,turnover,gross_to_cost
target6m_lb2w_pressure_vol_scaled_entry1_exit0p5_filt0_costx3,6,2w,336,pressure_vol_scaled,1.0,0.5,0.0,3.0,train,41313,0.7454070147411227,-0.029386142683105076,-0.03265906728975816,0.0032729246066530555,0.061969484114580836,-0.09135562679768586,-0.013053994889864449,-0.1691471942455106,-0.44746670907480746,-0.2932424769411264,152.6,-0.4742034422744338
target6m_lb2w_pressure_vol_scaled_entry1_exit0p5_filt0_costx3,6,2w,336,pressure_vol_scaled,1.0,0.5,0.0,3.0,test,17591,0.7821613324995736,-0.16787264193848322,-0.15897207284979992,-0.008900569088683391,0.03746806431807205,-0.20534070625655532,-0.06888433779973839,-0.543045606181446,-0.9375913369575775,-0.30868890955504363,84.0,-4.480419391655439
target6m_lb2w_pressure_vol_scaled_entry1_exit0p5_filt0p02_costx0,6,2w,336,pressure_vol_scaled,1.0,0.5,0.02,0.0,full,59018,0.571300281270121,0.05182816984932127,0.05960708839151177,-0.0077789185421904905,0.0,0.05182816984932127,0.005183644854290558,0.09118483040819604,0.28832872519122577,-0.2881302807830672,171.4,inf
target6m_lb2w_pressure_vol_scaled_entry1_exit0p5_filt0p02_costx0,6,2w,336,pressure_vol_scaled,1.0,0.5,0.02,0.0,train,41313,0.5065717812795004,0.1567903344798042,0.15602346099249387,0.0007668734873102706,0.0,0.1567903344798042,0.022404095914225042,0.5681521970091111,1.5030056808408232,-0.07040913213443523,96.2,inf
target6m_lb2w_pressure_vol_scaled_entry1_exit0p5_filt0p02_costx0,6,2w,336,pressure_vol_scaled,1.0,0.5,0.02,0.0,test,17591,0.721050537206526,-0.11107442933928789,-0.10224936259615618,-0.008825066743131727,0.0,-0.11107442933928789,-0.03726143077525536,-0.43991665330633656,-0.7595348133349532,-0.2827862448635528,73.80000000000001,inf
target6m_lb2w_pressure_vol_scaled_entry1_exit0p5_filt0p02_costx1,6,2w,336,pressure_vol_scaled,1.0,0.5,0.02,1.0,full,59018,0.571300281270121,0.05182816984932127,0.05960708839151177,-0.0077789185421904905,0.022416372153634838,0.02941179769568647,0.002941649574428811,0.05174931807184325,0.16363264418407783,-0.29673961087828593,171.4,2.312067692939211
target6m_lb2w_pressure_vol_scaled_entry1_exit0p5_filt0p02_costx1,6,2w,336,pressure_vol_scaled,1.0,0.5,0.02,1.0,train,41313,0.5065717812795004,0.1567903344798042,0.15602346099249387,0.0007668734873102706,0.01210409485307697,0.14468623962672722,0.02067451670934016,0.5243127605752759,1.3870316120054298,-0.07152790829458285,96.2,12.953495191748823
target6m_lb2w_pressure_vol_scaled_entry1_exit0p5_filt0p02_costx1,6,2w,336,pressure_vol_scaled,1.0,0.5,0.02,1.0,test,17591,0.721050537206526,-0.11107442933928789,-0.10224936259615618,-0.008825066743131727,0.010088048896659072,-0.12116247823594693,-0.04064560423314496,-0.47990536765762215,-0.8285770295412088,-0.2906423939762977,73.80000000000001,-11.010496725097473
target6m_lb2w_pressure_vol_scaled_entry1_exit0p5_filt0p02_costx2,6,2w,336,pressure_vol_scaled,1.0,0.5,0.02,2.0,full,59018,0.571300281270121,0.05182816984932127,0.05960708839151177,-0.0077789185421904905,0.044832744307269676,0.0069954255420516115,0.0006996542945670586,0.012308689131571668,0.038920384346760394,-0.3060312106898711,171.4,1.1560338464696056
target6m_lb2w_pressure_vol_scaled_entry1_exit0p5_filt0p02_costx2,6,2w,336,pressure_vol_scaled,1.0,0.5,0.02,2.0,train,41313,0.5065717812795004,0.1567903344798042,0.15602346099249387,0.0007668734873102706,0.02420818970615394,0.1325821447736502,0.018944937504455275,0.48044964252576716,1.2709948951629075,-0.07317689358089231,96.2,6.476747595874412
