target_months,lookback,root,pressure_state,observations,next_excess_bp,next_return_bp,next_funding_paid_bp,positive_excess_fraction
3,2w,PL,shorts_pay_and_lose,2281,-0.35801488039229235,-0.3662193292555895,-0.00820444886329699,0.4896975010960105
3,2w,PL,shorts_pay_and_win,650,1.5541450243635828,1.5625631326411182,0.0084181082775355,0.5030769230769231
3,2w,SI,longs_pay_and_lose,28589,0.13992303076311396,0.19651944176624006,0.056596411003126096,0.47882052537689324
3,2w,SI,longs_pay_and_win,29269,0.037492144386627006,0.09589982243159244,0.05840767804496547,0.4837541426082203
6,1d,GC,longs_pay_and_lose,27824,-0.08886511350940768,-0.03605537897643973,0.05280973453296794,0.49917337550316276
6,1d,GC,longs_pay_and_win,29886,0.2695810272226335,0.3233427973141525,0.053761770091519036,0.49494746704142406
6,1d,GC,shorts_pay_and_lose,67,3.3232287936093603,3.3221951276773303,-0.0010336659320309143,0.582089552238806
6,1d,GC,shorts_pay_and_win,72,-4.771115124773402,-4.766368440734094,0.00474668403930925,0.4722222222222222
6,1d,HG,longs_pay_and_lose,23681,0.2908942105564871,0.3341279111931669,0.04323370063667989,0.49288459102233856
6,1d,HG,longs_pay_and_win,24368,-0.09200898966085018,-0.050214505212118746,0.04179448444873144,0.4739001969796454
6,1d,HG,shorts_pay_and_lose,4405,0.7388106901167067,0.7218897822411755,-0.016920907875531396,0.5114642451759365
6,1d,HG,shorts_pay_and_win,3878,0.06299435195099538,0.04999284525361785,-0.013001506697377605,0.5211449200618876
6,1d,PA,longs_pay_and_lose,741,3.5538491465141986,3.611722556762831,0.057873410248631435,0.5128205128205128
6,1d,PA,longs_pay_and_win,960,-1.7686023941388545,-1.7140983170393735,0.05450407709948129,0.459375
6,1d,PA,shorts_pay_and_lose,1011,2.868900521702257,2.8408932413147725,-0.028007280387484304,0.5479723046488625
6,1d,PA,shorts_pay_and_win,728,-0.25789850581734275,-0.29987272868166953,-0.04197422286432639,0.5178571428571429
6,1d,PL,longs_pay_and_lose,17948,-0.43061063542267225,-0.39027583763328466,0.04033479778938763,0.4930354357031424
6,1d,PL,longs_pay_and_win,17241,0.027979417411745946,0.06907871944479871,0.04109930203305274,0.49446087813931905
6,1d,PL,shorts_pay_and_lose,964,-0.8034155565132327,-0.8129836820034255,-0.009568125490192324,0.487551867219917
6,1d,PL,shorts_pay_and_win,722,0.7677027665049898,0.7634777827935002,-0.004224983711490085,0.502770083102493
6,1d,SI,longs_pay_and_lose,23250,0.055639555857028185,0.1117935589045783,0.05615400304755021,0.4883010752688172
6,1d,SI,longs_pay_and_win,24777,0.2477164354205579,0.3048073283851374,0.05709089296457953,0.4770553335754934
6,1d,SI,shorts_pay_and_lose,44,-3.8004414343231256,-3.7941185543629876,0.0063228799601390585,0.45454545454545453
6,1d,SI,shorts_pay_and_win,38,-8.831297214218445,-8.830664129731465,0.0006330844869783495,0.5
6,3d,GC,longs_pay_and_lose,27849,0.051598176631468734,0.10414889474857413,0.0525507181171054,0.4972889511293045
6,3d,GC,longs_pay_and_win,29856,0.11724692648185889,0.17121485471499684,0.05396792823313796,0.4967175777063237
6,3d,GC,shorts_pay_and_lose,64,1.5130093138029208,1.5135265236079776,0.0005172098050560112,0.5625
6,3d,GC,shorts_pay_and_win,32,-1.6566294330922702,-1.6555691485531376,0.0010602845391323784,0.4375
6,3d,HG,longs_pay_and_lose,22940,0.1433282880592281,0.1873582898439789,0.04403000178475091,0.48653007846556234
6,3d,HG,longs_pay_and_win,25166,0.11216167643568599,0.1528997291229693,0.04073805268728331,0.48188031471032344
6,3d,HG,shorts_pay_and_lose,4599,-0.1973313187793068,-0.2144599015165387,-0.017128582737231925,0.4988040878451837
6,3d,HG,shorts_pay_and_win,3579,0.8415799877573586,0.8302645786103308,-0.011315409147028003,0.5272422464375524
6,3d,PA,longs_pay_and_lose,763,0.3290397192251456,0.39515905367294474,0.06611933444779915,0.48230668414154654
6,3d,PA,longs_pay_and_win,907,1.2035338375004645,1.2525675004783168,0.04903366297785154,0.48511576626240355
6,3d,PA,shorts_pay_and_lose,1045,0.4339083549411031,0.3993699975302631,-0.03453835741083952,0.5215311004784688
6,3d,PA,shorts_pay_and_win,677,2.7638598688080975,2.7291060924022146,-0.03475377640588321,0.5583456425406204
6,3d,PL,longs_pay_and_lose,18701,-0.22975782507300832,-0.18867690890069125,0.04108091617231694,0.49013421742152824
6,3d,PL,longs_pay_and_win,16537,-0.18715741956543988,-0.14712850448198442,0.04002891508345537,0.4971276531414404
