config,horizon,root,decile,n,signal_mean,forward_excess_mean_bp,forward_excess_median_bp,forward_price_mean_bp,forward_funding_paid_mean_bp,positive_excess_fraction
robust_3m_3d_pressure_vol_scaled_filt0p02,3d,PL,4,566,-0.3458020827644281,69.24634797068367,26.53749823906015,73.3410624544976,4.094714483813987,0.5653710247349824
robust_3m_3d_pressure_vol_scaled_filt0p02,3d,PL,5,566,-0.07179994478249263,69.10861741310102,54.373809338787204,73.15990980450108,4.051292391400136,0.6060070671378092
robust_3m_3d_pressure_vol_scaled_filt0p02,3d,PL,6,566,0.21437177993641687,66.5878629224724,50.455430168719914,70.92426929282952,4.336406370357211,0.6095406360424028
robust_3m_3d_pressure_vol_scaled_filt0p02,3d,PL,7,566,0.48457058007627324,42.70319127401975,10.99156783062231,46.714939820192726,4.011748546173079,0.5176678445229682
robust_3m_3d_pressure_vol_scaled_filt0p02,3d,PL,8,566,0.7693554288530956,-4.445090668658072,-13.5295075941397,-0.4097791872161915,4.035311481441967,0.4717314487632509
robust_3m_3d_pressure_vol_scaled_filt0p02,3d,PL,9,566,1.1723114891580513,5.823976195202469,-32.76657004002703,9.743444803850807,3.9194686086484047,0.43109540636042404
robust_3m_3d_pressure_vol_scaled_filt0p02,3d,PL,10,566,1.7499448048047956,-49.82210542866806,-72.82005934707645,-45.52672417091734,4.29538125775081,0.3957597173144876
robust_3m_3d_pressure_vol_scaled_filt0p02,3d,SI,1,1842,-1.7114463543207246,-6.271541641016387,18.422008572187462,-1.0784167201162478,5.193124920900256,0.5352877307274702
robust_3m_3d_pressure_vol_scaled_filt0p02,3d,SI,2,1842,-1.020158294334684,25.93173395016272,39.728214098220406,31.06117856583193,5.129444615669305,0.6042345276872965
robust_3m_3d_pressure_vol_scaled_filt0p02,3d,SI,3,1841,-0.6257643342684751,26.3946875016413,20.48824201360738,31.535808454046904,5.141120952405697,0.5507876154263986
robust_3m_3d_pressure_vol_scaled_filt0p02,3d,SI,4,1842,-0.3222504916154567,10.665524775826556,10.658848047232013,15.835393035484987,5.169868259658537,0.5190010857763301
robust_3m_3d_pressure_vol_scaled_filt0p02,3d,SI,5,1841,-0.06785495845811117,22.727405928869658,12.833186341743955,27.78356286546217,5.056156936592605,0.5290602933188484
robust_3m_3d_pressure_vol_scaled_filt0p02,3d,SI,6,1842,0.18448920265810265,22.208403915487526,-3.1149080065968784,27.187956307635854,4.979552392148423,0.49348534201954397
robust_3m_3d_pressure_vol_scaled_filt0p02,3d,SI,7,1841,0.4361824611172984,-7.869218565242875,-27.415625967530726,-2.838389750615542,5.030828814627427,0.4388919065725149
