variant,split,start,end,bars,net_residual_return,net_raw_return,cost_return,residual_sharpe,residual_tstat,max_drawdown,events
z2_exit0.25_mdq95_normq75_topo_exit,post_2020,2020-01-01 00:00:00+00:00,2024-11-29 00:00:00+00:00,1525,0.15281705437318932,0.1301449369316678,0.03264945436510776,0.496074274041897,1.2203414337855125,-0.07666766175447848,189
z2_exit0.25_mdq95_normq75_topo_exit,trade_overlap,2023-06-22 00:00:00+00:00,2024-11-29 00:00:00+00:00,449,-0.04538228581385789,-0.04795800450930025,0.013242974038467055,-0.5880993851837784,-0.785007173653499,-0.06888631243983265,63
z2_exit0.5_mdq90_normq50_topo_hold,full,2011-11-07 00:00:00+00:00,2024-11-29 00:00:00+00:00,4041,0.026853120720095533,0.03969027977821955,0.16424666194346393,0.03499797266085052,0.1401480445019236,-0.19190046069732689,797
z2_exit0.5_mdq90_normq50_topo_hold,pre_2020,2011-11-07 00:00:00+00:00,2019-12-31 00:00:00+00:00,2516,-0.12882956269345633,-0.085918878049692,0.0989846639521354,-0.37072784627544036,-1.1714135847141693,-0.1758493594967203,452
z2_exit0.5_mdq90_normq50_topo_hold,post_2020,2020-01-01 00:00:00+00:00,2024-11-29 00:00:00+00:00,1525,0.1556826834135518,0.1256091578279116,0.06526199799132854,0.4034372118310743,0.9924544998412513,-0.13222710787192524,345
z2_exit0.5_mdq90_normq50_topo_hold,trade_overlap,2023-06-22 00:00:00+00:00,2024-11-29 00:00:00+00:00,449,-0.018612772277199152,-0.025654442635057263,0.020180493733789905,-0.19140965285206402,-0.255497547490959,-0.06163117042914958,93
z2_exit0.5_mdq90_normq50_topo_exit,full,2011-11-07 00:00:00+00:00,2024-11-29 00:00:00+00:00,4041,0.026854530693457043,0.029511407488543653,0.1630784303193069,0.035178001197694195,0.1408689619001307,-0.1812145877739714,803
z2_exit0.5_mdq90_normq50_topo_exit,pre_2020,2011-11-07 00:00:00+00:00,2019-12-31 00:00:00+00:00,2516,-0.11814368977010092,-0.07687444837128994,0.09829513132896527,-0.341082816946219,-1.0777422017188412,-0.16516348657336485,456
z2_exit0.5_mdq90_normq50_topo_exit,post_2020,2020-01-01 00:00:00+00:00,2024-11-29 00:00:00+00:00,1525,0.14499822046355798,0.10638585585983355,0.06478329899034165,0.3779809851849235,0.9298322479937208,-0.12419140797715641,347
z2_exit0.5_mdq90_normq50_topo_exit,trade_overlap,2023-06-22 00:00:00+00:00,2024-11-29 00:00:00+00:00,449,-0.014395046202508085,-0.01762822503057332,0.020041695373251813,-0.1484602418778742,-0.1981677890039724,-0.05741344435445851,93
z2_exit0.5_mdq90_normq75_topo_hold,full,2011-11-07 00:00:00+00:00,2024-11-29 00:00:00+00:00,4041,-0.09732761969856185,-0.044401313667276954,0.16120974066612168,-0.13192487152692106,-0.5282881081379805,-0.22496154118057812,800
z2_exit0.5_mdq90_normq75_topo_hold,pre_2020,2011-11-07 00:00:00+00:00,2019-12-31 00:00:00+00:00,2516,-0.18577658291832122,-0.12451648054116952,0.09657926697845468,-0.5734540615111957,-1.8119811732853666,-0.20389295625911863,454
z2_exit0.5_mdq90_normq75_topo_hold,post_2020,2020-01-01 00:00:00+00:00,2024-11-29 00:00:00+00:00,1525,0.08844896321975945,0.08011516687389245,0.06463047368766703,0.2349223031887375,0.5779082595146351,-0.15886338424915902,346
z2_exit0.5_mdq90_normq75_topo_hold,trade_overlap,2023-06-22 00:00:00+00:00,2024-11-29 00:00:00+00:00,449,-0.06295088074073085,-0.06260047643428654,0.020153814260976302,-0.6814018605821074,-0.9095492397609636,-0.08144784934133602,93
