strategy,root,cum_log_contribution,contribution_bp,share_of_gross_pnl,leg_turnover
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p0_expanding_n5_hit52_meanpos,SI,-0.0033079508533589604,-33.0795085335896,-0.01561378053512542,167.49782503542994
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p0_expanding_n5_hit52_meanpos,HG,0.11474793488449211,1147.479348844921,0.5416190117595143,328.1423905179877
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p0_expanding_n5_hit52_meanpos,PL,0.014738707371508942,147.38707371508943,0.06956782384977102,239.07225511247077
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p0_expanding_n5_hit52_meanpos,PA,0.06989581454620782,698.9581454620782,0.32991358004613314,120.31097063507868
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p0_expanding_n10_hit55_meanpos,GC,0.01599384342020143,159.9384342020143,0.11190177795833668,190.4131903354243
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p0_expanding_n10_hit55_meanpos,SI,-0.0018239142691282052,-18.23914269128205,-0.012761113398248829,113.9295145768373
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p0_expanding_n10_hit55_meanpos,HG,0.029110998259100965,291.10998259100967,0.20367665093062512,211.92990260976254
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p0_expanding_n10_hit55_meanpos,PL,0.0,0.0,0.0,117.75410809138945
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p0_expanding_n10_hit55_meanpos,PA,0.09964659091894712,996.4659091894712,0.697182684509287,70.27084168484194
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p25_expanding_n5_hit52_meanpos,GC,0.007834540406034991,78.3454040603499,0.04875774242500817,221.08729591320275
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p25_expanding_n5_hit52_meanpos,SI,-0.008586745058142463,-85.86745058142463,-0.053439038171481996,121.33007288120922
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p25_expanding_n5_hit52_meanpos,HG,0.042020471800128495,420.20471800128496,0.26151161834965636,220.58560139678065
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p25_expanding_n5_hit52_meanpos,PL,0.01950936438496485,195.0936438496485,0.12141523487772225,207.41646456914802
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p25_expanding_n5_hit52_meanpos,PA,0.09990537010690557,999.0537010690557,0.6217544425190953,99.40664260966673
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p25_expanding_n10_hit55_meanpos,GC,0.007834540406034991,78.3454040603499,0.06931418101160937,189.0680868118272
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p25_expanding_n10_hit55_meanpos,SI,-0.014979031523876949,-149.7903152387695,-0.1325233196352951,100.65613881021542
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p25_expanding_n10_hit55_meanpos,HG,0.018748369783199586,187.48369783199587,0.1658716184326843,178.60437233914809
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p25_expanding_n10_hit55_meanpos,PL,0.013565735187584527,135.65735187584528,0.12001952579419664,174.99516402168328
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p25_expanding_n10_hit55_meanpos,PA,0.08785978780330464,878.5978780330464,0.7773179943968047,82.31210310038816
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p5_expanding_n5_hit52_meanpos,GC,0.008096260818260717,80.96260818260717,0.059509966833544,184.21302045984697
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p5_expanding_n5_hit52_meanpos,SI,-0.012192608407025357,-121.92608407025357,-0.08961936111049622,99.58425018237563
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p5_expanding_n5_hit52_meanpos,HG,0.04480199844642057,448.0199844642057,0.32930824506166767,186.9723211365549
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p5_expanding_n5_hit52_meanpos,PL,0.007838172776317404,78.38172776317404,0.05761294163130004,169.14548570418125
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p5_expanding_n5_hit52_meanpos,PA,0.08750499724517216,875.0499724517216,0.6431882075839845,80.1172455380939
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p5_expanding_n10_hit55_meanpos,GC,0.00891235613128611,89.1235613128611,0.08888058827955955,136.66573633201855
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p5_expanding_n10_hit55_meanpos,SI,-0.01020276497023055,-102.0276497023055,-0.10174949690899675,70.56641749063917
