strategy,root,side,event_count,normalized_fraction,hit_rate,mean_trade_return_bp,median_trade_return_bp,p10_trade_return_bp,p90_trade_return_bp,mean_duration_hours,median_duration_hours,trade_tstat
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n10_hit55_meanpos,SI,short_rich,73,0.0,0.5342465753424658,-0.09350345113162224,0.8504811110215948,-15.171348411235797,19.75456663399066,2.191780821917808,1.0,-0.04624784242386434
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n10_hit55_meanpos,PL,short_rich,106,0.0,0.5566037735849056,2.8378354295867654,1.5799013059708544,-17.998687946572808,28.191325845215722,5.889150943396227,2.0,1.2751827089093446
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n10_hit55_meanpos,GC,long_cheap,39,0.0,0.6410256410256411,5.769186298212947,2.740665333404446,-7.557054905345138,24.579490421175812,2.076923076923077,1.0,2.6915316865219823
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n10_hit55_meanpos,HG,long_cheap,179,0.0,0.5642458100558659,6.559215862226909,3.1535663757213674,-32.605322643812734,45.05875251522647,8.899441340782124,2.0,2.238898437404332
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n10_hit55_meanpos,HG,short_rich,50,0.0,0.66,8.12164182655685,9.868060552019227,-32.39706220695645,38.47425699917644,10.665,3.0,1.4785099148662695
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n10_hit55_meanpos,PA,long_cheap,105,0.0,0.6476190476190476,11.713635218387193,7.976035468664211,-27.783868284434465,56.34739096285716,5.847619047619047,2.0,3.4466605445026612
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n5_hit52_meanpos,PL,long_cheap,70,0.0,0.4857142857142857,-4.169959185574109,-0.8173385346509077,-41.47366216818729,22.480801302981135,8.746428571428572,1.5,-1.0274029552739945
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n5_hit52_meanpos,PA,short_rich,177,0.0,0.536723163841808,-0.2583951551355734,0.7019086442838773,-26.673648887521217,29.09975203536397,8.584745762711865,2.0,-0.10978026467392235
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n5_hit52_meanpos,SI,short_rich,73,0.0,0.5342465753424658,-0.09350345113162224,0.8504811110215948,-15.171348411235797,19.75456663399066,2.191780821917808,1.0,-0.04624784242386434
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n5_hit52_meanpos,PL,short_rich,106,0.0,0.5566037735849056,2.8378354295867654,1.5799013059708544,-17.998687946572808,28.191325845215722,5.889150943396227,2.0,1.2751827089093446
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n5_hit52_meanpos,GC,long_cheap,39,0.0,0.6410256410256411,5.769186298212947,2.740665333404446,-7.557054905345138,24.579490421175812,2.076923076923077,1.0,2.6915316865219823
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n5_hit52_meanpos,HG,short_rich,56,0.0,0.625,6.443039883184867,3.5837914882402844,-29.560989147322907,36.60099281230224,9.897321428571429,2.5,1.297646049020024
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n5_hit52_meanpos,HG,long_cheap,179,0.0,0.5642458100558659,6.559215862226909,3.1535663757213674,-32.605322643812734,45.05875251522647,8.899441340782124,2.0,2.238898437404332
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n5_hit52_meanpos,PA,long_cheap,105,0.0,0.6476190476190476,11.713635218387193,7.976035468664211,-27.783868284434465,56.34739096285716,5.847619047619047,2.0,3.4466605445026612
wf_event_20D_agree_60D_carry_state_hold_zbuf0p25_expanding_n10_hit55_meanpos,PL,long_cheap,37,0.0,0.4864864864864865,-5.425853922748921,-2.046723114333404,-42.37266770389303,21.63355457605642,9.89864864864865,2.0,-1.0304230282478983
wf_event_20D_agree_60D_carry_state_hold_zbuf0p25_expanding_n10_hit55_meanpos,SI,short_rich,56,0.0,0.48214285714285715,-0.8238509331292815,-1.0033238889356477,-15.709014437602363,19.27387620189902,2.392857142857143,1.0,-0.34904934206155486
wf_event_20D_agree_60D_carry_state_hold_zbuf0p25_expanding_n10_hit55_meanpos,PA,short_rich,134,0.0,0.5223880597014925,1.0114222112414322,0.593939691461709,-25.37046492993644,32.91153002040371,10.093283582089553,3.0,0.37364761924485757
wf_event_20D_agree_60D_carry_state_hold_zbuf0p25_expanding_n10_hit55_meanpos,PL,short_rich,85,0.0,0.5647058823529412,3.3598624063618283,1.641187223952456,-17.350269887232482,29.327437508659305,6.3088235294117645,2.0,1.3072832100099978
wf_event_20D_agree_60D_carry_state_hold_zbuf0p25_expanding_n10_hit55_meanpos,GC,long_cheap,27,0.0,0.5555555555555556,3.736636759945714,0.8964141617651133,-9.059477019350503,20.272878831855035,2.2222222222222223,1.0,1.4899997429036433
