root,asset,asset_class,horizon_bars,horizon,beta_bps_per_full_ofi_high,beta_bps_per_full_ofi_low,corr_high,corr_low,hit_rate_high,hit_rate_low,n_high,n_low,nw_tstat_high,nw_tstat_low,r2_high,r2_low,abs_corr_high_minus_low,abs_nw_tstat_high_minus_low,abs_beta_bps_per_full_ofi_high_minus_low,abs_hit_rate_high_minus_low
6S,Swiss Franc,FX,6,next_30m,0.28960073281464643,-0.38914567714353615,0.02564929937535202,-0.015367205451715915,0.501432664756447,0.49142480211081796,1396,1516,1.0390001393608101,-0.767531944799092,0.0006578865584462301,0.00023615100339535733,0.010282093923636106,0.2714681945617181,-0.09954494432888972,0.010007862645629029
6S,Swiss Franc,FX,12,next_60m,0.3841206203295452,-0.05418276862678241,0.024186453587821823,-0.0015034392074673374,0.49711815561959655,0.4665341285619616,1388,1509,0.8359718521112474,-0.06279280147655514,0.0005849845371557194,2.2603294506096105e-06,0.022683014380354485,0.7731790506346923,0.3299378517027628,0.030584027057634966
6Z,South African Rand,FX,0,same_bar,1.526990132646028,1.1011985305513619,0.13183937230522044,0.11455512264627678,0.44666666666666666,0.40486725663716816,450,904,4.097945223876558,4.8472461061442065,0.01738162008983457,0.013122876124503469,0.017284249658943665,-0.7493008822676481,0.42579160209466616,0.041799410029498496
6Z,South African Rand,FX,1,next_5m,-0.3348682909451413,-0.13130347817701582,-0.032150124402402926,-0.013621650704676882,0.32682926829268294,0.3354350567465322,410,793,-0.8398161808904635,-0.48713267153871503,0.0010336304990901102,0.0001855493679202569,0.018528473697726044,0.35268350935174847,0.2035648127681255,-0.008605788453849239
6Z,South African Rand,FX,3,next_15m,-0.0015845789154258646,-0.06393398928474724,-9.515694195997865e-05,-0.003940720061534968,0.4207492795389049,0.4097331240188383,347,637,-0.00174333470398569,-0.11029153786766094,9.05484343061147e-09,1.5529274603465204e-05,-0.0038455631195749894,-0.10854820316367525,-0.06234941036932137,0.011016155520066573
6Z,South African Rand,FX,6,next_30m,-0.3502325780287751,-0.29293618335598953,-0.015991748342649183,-0.012536593445977861,0.4014336917562724,0.4134419551934827,279,491,-0.2471668018795376,-0.3503596455718839,0.0002557360150545751,0.0001571661752297615,0.0034551548966713225,-0.10319284369234633,0.05729639467278558,-0.012008263437210287
6Z,South African Rand,FX,12,next_60m,-1.2844472899923414,0.5393149820817862,-0.041843150926102406,0.016571691326961038,0.4362745098039216,0.44642857142857145,204,336,-0.7078477365784964,0.3277006064827096,0.0017508492794247044,0.000274620953436,0.025271459599141368,0.3801471300957868,0.7451323079105552,-0.01015406162464988
BZ,Brent Crude Oil,Energy,0,same_bar,5.78256055104982,12.370657367358271,0.11725112513195746,0.12405794920807922,0.5672554347826086,0.5619354838709677,1472,1550,6.325975027758454,7.045977617389496,0.013747826344710057,0.015390374761714343,-0.006806824076121765,-0.7200025896310418,-6.588096816308451,0.005319950911640947
BZ,Brent Crude Oil,Energy,1,next_5m,0.09666959626616656,-0.7319934307223602,0.0019872335866456523,-0.007555209129736283,0.49014276002719237,0.46739832149774047,1471,1549,0.09730695050132748,-0.4102265595159236,3.949097327815565e-06,5.7081184994145495e-05,-0.005567975543090631,-0.3129196090145961,-0.6353238344561937,0.022744438529451905
BZ,Brent Crude Oil,Energy,3,next_15m,1.3655101575238437,-3.3616532026412016,0.01644326305283013,-0.01970946663223907,0.4908225696804895,0.4893203883495146,1471,1545,0.6880414262095447,-0.9369226621431879,0.0002703808998245627,0.00038846307492734766,-0.0032662035794089397,-0.2488812359336432,-1.9961430451173579,0.0015021813309749055
BZ,Brent Crude Oil,Energy,6,next_30m,0.902635456720716,-1.4566880344461395,0.008049703826938908,-0.006195067782394588,0.5078391274710293,0.4983755685510071,1467,1539,0.3106736530478678,-0.25547275176732237,6.479773170153802e-05,3.8378864828492176e-05,0.0018546360445443203,0.055200901280545445,-0.5540525777254235,0.009463558920022208
BZ,Brent Crude Oil,Energy,12,next_60m,-0.36984461828880844,1.2499311160893898,-0.002331847430596527,0.003846774784281129,0.5044551062371487,0.4967277486910995,1459,1528,-0.0794031427312244,0.1108496685942264,5.437512439754322e-06,1.4797676241018465e-05,-0.0015149273536846021,-0.031446525863002006,-0.8800864978005813,0.007727357546049252
CL,WTI Crude Oil,Energy,0,same_bar,39.59767851341168,45.65742285070722,0.3554180800915846,0.16280999545972644,0.6672873991309746,0.5518311607697083,1611,1611,12.518715406185168,6.617471280662691,0.126322011655988,0.026507094621596283,0.19260808463185816,5.901244125522476,-6.059744337295541,0.11545623836126628
CL,WTI Crude Oil,Energy,1,next_5m,-3.2757634220526546,5.31572734599053,-0.029386655477867563,0.018734515529461662,0.4748290863890615,0.5027967681789932,1609,1609,-1.3279440755754428,0.960470287003594,0.0008635755201749085,0.00035098207212347354,0.0106521399484059,0.36747378857184876,-2.0399639239378757,-0.027967681789931698
