root,asset,asset_class,bucket,horizon_bars,horizon,n,beta_bps_per_full_ofi,nw_tstat,r2,corr,hit_rate
HYB,Bloomberg U.S. High Yield Very Liquid Index,Credit,high,1,next_5m,192,-0.13335000603548544,-0.5350051761013063,0.0015890627673714741,-0.03986305015138125,0.3489583333333333
HYB,Bloomberg U.S. High Yield Very Liquid Index,Credit,low,3,next_15m,193,-0.38087246186830226,-0.8001329137177953,0.004167022754980931,-0.06455248062608303,0.42487046632124353
HYB,Bloomberg U.S. High Yield Very Liquid Index,Credit,high,3,next_15m,98,-0.09809721651395929,-0.14124790532453405,0.0002548556937058688,-0.01596420037789967,0.4897959183673469
HYB,Bloomberg U.S. High Yield Very Liquid Index,Credit,low,6,next_30m,86,-0.1936774026014092,-0.18620655143977055,0.00039032138029682084,-0.01975655284447318,0.43023255813953487
HYB,Bloomberg U.S. High Yield Very Liquid Index,Credit,high,6,next_30m,43,,,,,
HYB,Bloomberg U.S. High Yield Very Liquid Index,Credit,low,12,next_60m,31,,,,,
HYB,Bloomberg U.S. High Yield Very Liquid Index,Credit,high,12,next_60m,16,,,,,
DHB,Duration-Hedged IG Credit Index,Credit,low,0,same_bar,475,0.5532085598923682,5.594227068159458,0.07615586427958732,0.2759635198347553,0.29473684210526313
DHB,Duration-Hedged IG Credit Index,Credit,high,0,same_bar,269,0.6537447670265787,5.696824259290557,0.10766647381996897,0.32812569820111404,0.3048327137546468
DHB,Duration-Hedged IG Credit Index,Credit,low,1,next_5m,317,-0.334699961620013,-3.148218540148041,0.032953941538635845,-0.1815322052381772,0.13564668769716087
DHB,Duration-Hedged IG Credit Index,Credit,high,1,next_5m,194,-0.11939112027681385,-1.0386520271169661,0.0042004292073121174,-0.06481071830578608,0.17010309278350516
DHB,Duration-Hedged IG Credit Index,Credit,low,3,next_15m,175,-0.3875612299529954,-2.337486920835579,0.025693682592626388,-0.16029249075557628,0.18857142857142858
DHB,Duration-Hedged IG Credit Index,Credit,high,3,next_15m,111,-0.2784065665551398,-1.6777952848864182,0.017439310134033548,-0.13205798019822027,0.17117117117117117
DHB,Duration-Hedged IG Credit Index,Credit,low,6,next_30m,82,-0.4679283592359512,-1.3368426137205565,0.019927161377783054,-0.14116359792022581,0.3170731707317073
DHB,Duration-Hedged IG Credit Index,Credit,high,6,next_30m,48,,,,,
DHB,Duration-Hedged IG Credit Index,Credit,low,12,next_60m,20,,,,,
DHB,Duration-Hedged IG Credit Index,Credit,high,12,next_60m,8,,,,,
DHY,Duration-Hedged HY Credit Index,Credit,low,0,same_bar,747,0.5417615371863422,4.427593033487122,0.029825425958786234,0.1727003936266107,0.4538152610441767
DHY,Duration-Hedged HY Credit Index,Credit,high,0,same_bar,338,0.7457599781109128,5.600042303459053,0.07778187792278846,0.2788940263304124,0.4881656804733728
DHY,Duration-Hedged HY Credit Index,Credit,low,1,next_5m,556,0.03659693888592915,0.3234345557811118,0.00013205041335151435,0.0114913190431602,0.35251798561151076
DHY,Duration-Hedged HY Credit Index,Credit,high,1,next_5m,280,0.01517012410415897,0.12121460456681989,3.564633672348272e-05,0.005970455319612902,0.31785714285714284
DHY,Duration-Hedged HY Credit Index,Credit,low,3,next_15m,378,-0.029632950485196412,-0.13237446425478308,3.768014316107848e-05,-0.006138415362375212,0.4021164021164021
DHY,Duration-Hedged HY Credit Index,Credit,high,3,next_15m,201,-0.18613417637826724,-0.7404454475957228,0.0020113662026732815,-0.04484825752103874,0.3582089552238806
DHY,Duration-Hedged HY Credit Index,Credit,low,6,next_30m,253,-0.13168815714084664,-0.47788047424394126,0.0004931466091218084,-0.022206904537145203,0.4782608695652174
DHY,Duration-Hedged HY Credit Index,Credit,high,6,next_30m,152,-0.44527091939871777,-0.9795409704768916,0.0073121566344570565,-0.08551114918217971,0.39473684210526316
DHY,Duration-Hedged HY Credit Index,Credit,low,12,next_60m,131,-0.40395006384283877,-0.6844926213102595,0.0024992748542016496,-0.04999274801610436,0.4351145038167939
DHY,Duration-Hedged HY Credit Index,Credit,high,12,next_60m,94,-0.39366151232579744,-0.43646278188373566,0.0036250364547477654,-0.06020827563340155,0.40425531914893614
ES,E-mini S&P 500,Equity,low,0,same_bar,1598,21.93541531914289,8.988225988850644,0.047716778444815366,0.2184417049118945,0.6063829787234043
ES,E-mini S&P 500,Equity,high,0,same_bar,1600,34.818992708952756,9.124875860131183,0.1939472563367003,0.4403944326813183,0.693125
ES,E-mini S&P 500,Equity,low,1,next_5m,1597,-0.49637753832779175,-0.22790633830350518,2.446890181406758e-05,-0.00494660507964339,0.46149029430181593
ES,E-mini S&P 500,Equity,high,1,next_5m,1599,-2.46874482150272,-1.6458076742149101,0.0009713391518487713,-0.031166314377044917,0.4803001876172608
ES,E-mini S&P 500,Equity,low,3,next_15m,1595,-3.6754637100612078,-0.8876268058754999,0.0004663656409710226,-0.021595500479754615,0.4689655172413793
ES,E-mini S&P 500,Equity,high,3,next_15m,1597,-3.7646168220573104,-1.0087316025442565,0.000768200653342932,-0.027716432911595916,0.48090169067000627
ES,E-mini S&P 500,Equity,low,6,next_30m,1592,-11.112150492401382,-1.445049585141167,0.0022090804941599096,-0.047000856313048345,0.4742462311557789
ES,E-mini S&P 500,Equity,high,6,next_30m,1594,-0.6598667455829254,-0.14465719797642052,1.22709996578374e-05,-0.0035029986665525326,0.4887076537013802
ES,E-mini S&P 500,Equity,low,12,next_60m,1587,-12.912074721478286,-1.1101451061659389,0.001465736151111563,-0.03828493373523818,0.47574039067422813
ES,E-mini S&P 500,Equity,high,12,next_60m,1588,-2.00431909743467,-0.2849172105820586,5.5076133621767553e-05,-0.007421329639737397,0.5088161209068011
NQ,E-mini Nasdaq-100,Equity,low,0,same_bar,1596,80.37690483155498,7.1860347821539925,0.05727864519294401,0.23932957442185077,0.631578947368421
NQ,E-mini Nasdaq-100,Equity,high,0,same_bar,1598,65.83232688959535,11.195992340720824,0.27564118029418516,0.5250154095778383,0.7747183979974969
NQ,E-mini Nasdaq-100,Equity,low,1,next_5m,1595,5.568645320215064,0.812324038342661,0.0002731408055174356,0.016526972061371763,0.5078369905956113
NQ,E-mini Nasdaq-100,Equity,high,1,next_5m,1597,1.9110080603719508,0.6455161724821685,0.0002321236988236386,0.01523560628342803,0.49029430181590483
NQ,E-mini Nasdaq-100,Equity,low,3,next_15m,1593,2.0796842373106537,0.16174706435295516,1.2986787831792412e-05,0.0036037186116550345,0.5097300690521029
NQ,E-mini Nasdaq-100,Equity,high,3,next_15m,1595,-3.332011478733196,-0.6859492416260229,0.00024263017302650347,-0.015576590545643048,0.4946708463949843
NQ,E-mini Nasdaq-100,Equity,low,6,next_30m,1590,-6.5598125711995285,-0.300226564765415,6.43027680448105e-05,-0.008018900675580289,0.5081761006289308
NQ,E-mini Nasdaq-100,Equity,high,6,next_30m,1592,-5.74788540830998,-0.80376163447482,0.00036341971696296493,-0.019063570414877624,0.4943467336683417
NQ,E-mini Nasdaq-100,Equity,low,12,next_60m,1584,16.088042229282635,0.515504069778109,0.00018485624994790673,0.013596185124807205,0.49684343434343436
NQ,E-mini Nasdaq-100,Equity,high,12,next_60m,1586,0.9324314444159234,0.08312754079741656,4.630580537900997e-06,0.0021518783743477445,0.5037831021437579
YM,E-mini Dow,Equity,low,0,same_bar,1583,16.395522729627597,8.694882499655968,0.026338264204329054,0.16229067811901288,0.5773847125710676
YM,E-mini Dow,Equity,high,0,same_bar,1593,12.722659172370895,11.457370171409528,0.06904052260846616,0.26275563287675896,0.6409290646578782
YM,E-mini Dow,Equity,low,1,next_5m,1582,1.0563905320820723,0.47664568339765945,0.0001080588238848712,0.010395134625632903,0.5031605562579013
YM,E-mini Dow,Equity,high,1,next_5m,1592,0.9342252833300839,1.0363828614514212,0.00036726921712004756,0.019164269282191927,0.47550251256281406
YM,E-mini Dow,Equity,low,3,next_15m,1580,4.697077534932366,1.0409976419032996,0.0007387951438998508,0.027180786300246812,0.5101265822784811
YM,E-mini Dow,Equity,high,3,next_15m,1590,-0.4000238005155246,-0.20137573483943064,2.3208044996225752e-05,-0.0048174728848380316,0.49245283018867925
YM,E-mini Dow,Equity,low,6,next_30m,1577,-5.844507123071217,-1.0320527333105927,0.0006503011934468894,-0.025501003773317182,0.47939124920735576
YM,E-mini Dow,Equity,high,6,next_30m,1587,0.13186436341747068,0.04898812184039729,1.4521985903792611e-06,0.0012050720270377778,0.4896030245746692
YM,E-mini Dow,Equity,low,12,next_60m,1571,-0.5744741239409741,-0.06155427408077479,3.0722104129576877e-06,-0.001752772207964778,0.5060471037555697
YM,E-mini Dow,Equity,high,12,next_60m,1581,1.8812511462833386,0.4501711411067521,0.0001488086823927537,0.012198716423982844,0.5072738772928527
RTY,E-mini Russell 2000,Equity,low,0,same_bar,1592,-1.1810604996836997,-0.41413519893181905,5.928537246990828e-05,-0.0076996995051705815,0.4805276381909548
RTY,E-mini Russell 2000,Equity,high,0,same_bar,1599,15.333963157371569,8.791291003639083,0.07531794834645522,0.274441156436959,0.6072545340838024
RTY,E-mini Russell 2000,Equity,low,1,next_5m,1591,5.923793311356377,1.866794461482159,0.001490155650242353,0.03860253424637279,0.502828409805154
RTY,E-mini Russell 2000,Equity,high,1,next_5m,1598,-1.3297923591618228,-1.1084992359072967,0.0005676783638104421,-0.02382600184274497,0.49123904881101377
RTY,E-mini Russell 2000,Equity,low,3,next_15m,1589,11.8443666962286,1.6756212915965543,0.0019571527978825554,0.04423971968584773,0.5103838892385147
RTY,E-mini Russell 2000,Equity,high,3,next_15m,1596,-0.19703858020223933,-0.09162089240605702,4.1287385966759516e-06,-0.002031929771590155,0.5087719298245614
RTY,E-mini Russell 2000,Equity,low,6,next_30m,1586,22.49855749604657,1.7975702259727564,0.0034974323254717277,0.05913909303896784,0.5119798234552333
RTY,E-mini Russell 2000,Equity,high,6,next_30m,1593,-0.37305823587333026,-0.111419816305817,7.3902589058372214e-06,-0.002718503063453379,0.5153797865662273
RTY,E-mini Russell 2000,Equity,low,12,next_60m,1580,41.631824762038804,1.8944420411519776,0.0057808999561277385,0.07603222971955877,0.4911392405063291
RTY,E-mini Russell 2000,Equity,high,12,next_60m,1587,0.2484333209734569,0.05411792472400772,1.5913453559335267e-06,0.0012614853768455655,0.5078764965343415
NIY,Nikkei 225,Equity,low,0,same_bar,1523,2.37527413880182,3.0413249557733684,0.002213937430088575,0.04705249653406876,0.4990151017728168
NIY,Nikkei 225,Equity,high,0,same_bar,1527,1.7141472437066465,3.680671238966739,0.004477252937987841,0.06691227793154211,0.5239030779305829
NIY,Nikkei 225,Equity,low,1,next_5m,1522,2.0122962916185654,1.9429199570216154,0.00162444277790752,0.04030437665945879,0.4816031537450723
NIY,Nikkei 225,Equity,high,1,next_5m,1526,0.021668286419078614,0.04334809917654543,7.146845247829603e-07,0.0008453901613041981,0.47706422018348627
NIY,Nikkei 225,Equity,low,3,next_15m,1520,2.0564901530911306,0.9740624884476625,0.0005447202935031648,0.023339243636054403,0.49144736842105263
NIY,Nikkei 225,Equity,high,3,next_15m,1524,-0.7037334891501477,-0.7403429034435434,0.00024329962265334792,-0.015598064708586493,0.4881889763779528
NIY,Nikkei 225,Equity,low,6,next_30m,1518,-0.03760667239294555,-0.012238182016680222,8.922577487968653e-08,-0.0002987068374937734,0.4743083003952569
NIY,Nikkei 225,Equity,high,6,next_30m,1523,0.7125187721449627,0.5218071054528476,0.00012377772475891113,0.01112554379609606,0.5036112934996717
NIY,Nikkei 225,Equity,low,12,next_60m,1512,4.015783471186245,0.7760802400804803,0.0004921685804591958,0.022184872784383657,0.5006613756613757
NIY,Nikkei 225,Equity,high,12,next_60m,1518,-0.9831309824825104,-0.5143865995135642,0.00011327988541265377,-0.010643302373454703,0.5092226613965745
6E,Euro FX,FX,low,0,same_bar,1593,0.9351053259245299,5.165310854501064,0.008939905242274504,0.09455107213709726,0.5009416195856874
6E,Euro FX,FX,high,0,same_bar,1604,1.6610999136423708,9.029732130424136,0.06744537118476923,0.2597024666512994,0.5879052369077307
6E,Euro FX,FX,low,1,next_5m,1592,-0.2026362901551476,-1.1411252293054654,0.00042303429349388466,-0.020567797487669712,0.4478643216080402
