root,target_months,horizon,horizon_bars,n,mean_forward_return_bp,median_forward_return_bp,mean_initial_funding_paid_bp,mean_path_funding_paid_bp,mean_excess_after_initial_funding_bp,mean_excess_after_path_funding_bp,median_excess_after_path_funding_bp,path_excess_hac_t,initial_excess_hac_t,positive_path_excess_fraction,contango_fraction,avg_abs_funding_share_of_abs_return
PA,3,3d,72,35981,10.089664593560975,26.49008171577094,1.0766391575773349,1.1042014420545354,9.013025435983641,8.985463151506439,25.99282418978113,0.5435836631987695,0.5454744868796079,0.5334204163308413,0.5743031044162197,0.045829009407130646
PA,3,1w,168,29452,28.09637156432725,60.39494468640161,2.683221831324072,2.7487612096751897,25.41314973300317,25.34761035465206,60.21695885804139,0.6293083136197036,0.6312730199792111,0.5501154420752411,0.5723550183349179,0.08784385559462013
PA,3,1m,720,11354,204.3267094084225,187.85262782467615,13.068781630553222,17.840534023536033,191.2579277778692,186.4861753848864,174.5897347377872,0.8512601442051558,0.8727883398004608,0.554077858023604,0.5452703892901181,0.26452718791264923
PA,6,1h,1,3464,1.054160639561375,0.7275376341553397,0.010605733500542997,0.010605733500542997,1.0435549060608316,1.0435549060608316,0.7548043757288896,1.0005091852424979,1.0005091852424979,0.5095265588914549,0.49566974595842955,0.0043176071182608345
PA,6,4h,4,3065,4.333453023835131,6.660006906180627,0.04190151297688432,0.042050000858574764,4.291551510858247,4.291403022976556,6.599457395012037,1.2014186605432184,1.2014737225053562,0.5425774877650897,0.48776508972267535,0.009960981573567977
PA,6,1d,24,968,31.722887496683963,50.02802843194765,-0.01626839549193124,-0.0027792119820772964,31.739155892175894,31.72566670866604,50.92563050630062,0.9484554238696316,0.9489902137569771,0.5733471074380165,0.35537190082644626,0.018455516944352424
PA,6,3d,72,259,242.36131704386258,160.56961678817316,-0.6444310631823466,-0.6564910540590908,243.00574810704492,243.01780809792163,162.57731854144967,1.08622445178192,1.0861007504322582,0.6486486486486487,0.2277992277992278,0.03542752217166669
PA,6,1w,168,60,1080.991154735224,1050.9787900534916,-4.210050217404567,-4.800093580815962,1085.2012049526286,1085.7912483160399,1055.7301502199407,,,1.0,0.0,0.004564321859729397
PL,1,1h,1,58788,0.05834494487029778,0.0,0.03783242569766971,0.03783242569766971,0.02051251917262803,0.02051251917262803,-0.017318727078274556,0.12071347446937959,0.12071347446937959,0.4951010410287814,0.9285908688848065,0.004924360365258229
PL,1,4h,4,58716,0.19576367851415782,0.9828010049517388,0.15192978524586878,0.15135281850585092,0.04383389326828919,0.04441086000830691,0.8311915261430329,0.07975809185616593,0.07872451020807125,0.5014306151645207,0.9286054908372505,0.01217653307896454
PL,1,1d,24,58247,1.1237791891956919,3.280660535738278,0.9064200675996344,0.9048647578207719,0.21735912159605686,0.2189144313749212,2.5996269111886674,0.06638174075717912,0.06592640717052711,0.5065496935464487,0.9285628444383401,0.027031742653918174
PL,1,3d,72,57299,4.230813468050959,3.333518559678339,2.7142794991971124,2.707177938863806,1.5165339688538464,1.5236355291871535,0.8128577829311144,0.15213091757520592,0.15152594030193162,0.5012129356533273,0.9276078116546537,0.05551293907429508
PL,1,1w,168,55635,10.07483859087188,2.3983691205042845,6.265770399881051,6.269013258676117,3.809068190990824,3.8058253321957625,-3.8749707970201417,0.16995312607932517,0.17025729762024294,0.49648602498427247,0.926071717444055,0.08799758461283716
PL,1,1m,720,46803,58.576206984643626,-46.73633682366507,26.039515556164467,25.83824889146747,32.536691428479145,32.737958093176125,-73.93222323692075,0.4168679257928965,0.4152489764882272,0.46499156037006173,0.9197487340555093,0.20427542663190978
PL,3,1h,1,58856,0.04241065518518508,0.0,0.03671314432061891,0.03671314432061891,0.005697510864566125,0.005697510864566125,-0.017447664221364262,0.033546237814730866,0.033546237814730866,0.49490281364686695,0.9349938833763762,0.004710144884340963
PL,3,4h,4,58835,0.14403519785950095,0.9753718612959261,0.14712194753327332,0.1467740906211769,-0.0030867496737725375,-0.0027388927616759135,0.8337154789247239,-0.004923413527191937,-0.005548784603894044,0.5013342398232344,0.9349706807172601,0.011777686695427404
PL,3,1d,24,58695,0.9995171041324034,3.2465775946732833,0.8800525545041195,0.8799031988659747,0.11946454962828429,0.11961390526642827,2.5162562384881766,0.03646365623798393,0.03642194674209805,0.5063804412641622,0.9348496464775534,0.026209007414859854
PL,3,3d,72,58386,3.6485424010118668,3.0801354936116354,2.641443206364948,2.6364236815792284,1.007099194646917,1.0121187194326373,0.3677561198468977,0.10239651843921979,0.10192084132677355,0.5005138218065974,0.9345219744459288,0.05381309770512076
PL,3,1w,168,57874,8.72684578209745,0.020639948163925226,6.133469362337386,6.135299056582435,2.5933764197600593,2.5915467255150126,-5.74158355512667,0.11822207984214675,0.11836905320357287,0.4944189100459619,0.9339599820299271,0.08732750584931664
PL,3,1m,720,55666,37.41910655102594,-48.96176265617225,26.081888015760953,26.156375287480106,11.337218535264995,11.262731263545806,-77.9872535406037,0.13175341147044559,0.13273196332382947,0.4646283189020228,0.9353824596701756,0.20160709170377894
PL,6,1h,1,36899,-0.16835524685551984,0.0,0.038497509453944305,0.038497509453944305,-0.20685275630946406,-0.20685275630946406,-0.023769388703308525,-0.8768715923686712,-0.8768715923686712,0.49372611723894955,0.9452017669855551,0.004885477894298748
PL,6,4h,4,35684,-0.5186383876759744,0.0,0.1568334837059488,0.15631736677463828,-0.675471871381923,-0.6749557544506131,-0.04515366779565302,-0.8585648566259328,-0.8592336215692664,0.499327429660352,0.9457740163658782,0.011421214015545108
