feature,root,horizon,spearman_ic,pvalue,observations,bh_qvalue
md_rolling,PL,5,0.002645979988134829,0.19335334909196472,241657,0.36880289558208373
md_rolling,PL,10,-0.0013667029659004035,0.5016841496426255,241652,0.6991776495385235
md_rolling,PL,20,-0.0016279841354677866,0.4235566395074946,241642,0.6263865795533371
md_rolling,PL,50,-0.003976690583841621,0.05061827307432264,241612,0.1236027598326483
md_rolling,PA,1,-0.0005600800192897676,0.7830638788873469,241661,0.8864874100611475
md_rolling,PA,2,0.0025782192898753933,0.20500498718543145,241660,0.37847074557310423
md_rolling,PA,5,0.00441580685033166,0.029950143526098892,241657,0.0786191267560096
md_rolling,PA,10,0.004872420180384247,0.016611681840643433,241652,0.04773607762499683
md_rolling,PA,20,0.0022905252971449257,0.26018611177563983,241642,0.44970439072332813
md_rolling,PA,50,-0.0009367749376666784,0.6451857320191922,241612,0.7991256048316747
md_expanding,GC,1,-0.0026123490067520975,0.19907166372444787,241661,0.374195902076024
md_expanding,GC,2,-0.001536911292359404,0.4499336646356551,241660,0.6527535030983597
md_expanding,GC,5,-0.0006733988913783108,0.7406203652099352,241657,0.8604717936049041
md_expanding,GC,10,6.98662400921527e-05,0.9726022428628606,241652,0.9848929919475304
md_expanding,GC,20,-0.0021026745315884036,0.3013187493529787,241642,0.4968061104123975
md_expanding,GC,50,-0.0004230084833995911,0.8352877566876487,241612,0.9159813519812335
md_expanding,SI,1,-0.0010217953786715056,0.6154549579241659,241661,0.790054771053221
md_expanding,SI,2,-0.00015474278879702174,0.9393638053433977,241660,0.9679392321135039
md_expanding,SI,5,0.0023046309636681386,0.25724766523120324,241657,0.44796325355062044
md_expanding,SI,10,0.0012515993671876537,0.538383240335405,241652,0.7212789822675282
md_expanding,SI,20,0.002471922367036366,0.22432002169547754,241642,0.3992135979326295
md_expanding,SI,50,0.0019178911699966458,0.34582564940787375,241612,0.5447065606739245
md_expanding,HG,1,-0.0009875603007899643,0.627341109872022,241661,0.790054771053221
md_expanding,HG,2,6.756926744794365e-05,0.9735022159063575,241660,0.9848929919475304
md_expanding,HG,5,0.0014053503098810673,0.48966132028572984,241657,0.6903190824772855
md_expanding,HG,10,0.002772859653851404,0.1728569745080672,241652,0.33925200604387024
md_expanding,HG,20,-0.0029018196486705694,0.15373968156426632,241642,0.3124402107464065
md_expanding,HG,50,0.002691166797794161,0.1858976222140777,241612,0.358974718758219
md_expanding,PL,1,0.0009764656822321777,0.6312141201646967,241661,0.7901935334401567
md_expanding,PL,2,0.0006067984932092296,0.7654787020655494,241660,0.8749197792717174
md_expanding,PL,5,0.002645979988134829,0.19335334909196472,241657,0.36880289558208373
md_expanding,PL,10,-0.0013667029659004035,0.5016841496426255,241652,0.6991776495385235
md_expanding,PL,20,-0.0016279841354677866,0.4235566395074946,241642,0.6263865795533371
md_expanding,PL,50,-0.003976690583841621,0.05061827307432264,241612,0.1236027598326483
md_expanding,PA,1,-0.0005600800192897676,0.7830638788873469,241661,0.8864874100611475
md_expanding,PA,2,0.0025782192898753933,0.20500498718543145,241660,0.37847074557310423
md_expanding,PA,5,0.00441580685033166,0.029950143526098892,241657,0.0786191267560096
md_expanding,PA,10,0.004872420180384247,0.016611681840643433,241652,0.04773607762499683
md_expanding,PA,20,0.0022905252971449257,0.26018611177563983,241642,0.44970439072332813
md_expanding,PA,50,-0.0009367749376666784,0.6451857320191922,241612,0.7991256048316747
md_ewma,GC,1,-0.0026123490067520975,0.19907166372444787,241661,0.374195902076024
md_ewma,GC,2,-0.001536911292359404,0.4499336646356551,241660,0.6527535030983597
md_ewma,GC,5,-0.0006733988913783108,0.7406203652099352,241657,0.8604717936049041
md_ewma,GC,10,6.98662400921527e-05,0.9726022428628606,241652,0.9848929919475304
md_ewma,GC,20,-0.0021026745315884036,0.3013187493529787,241642,0.4968061104123975
md_ewma,GC,50,-0.0004230084833995911,0.8352877566876487,241612,0.9159813519812335
md_ewma,SI,1,-0.0010217953786715056,0.6154549579241659,241661,0.790054771053221
md_ewma,SI,2,-0.00015474278879702174,0.9393638053433977,241660,0.9679392321135039
md_ewma,SI,5,0.0023046309636681386,0.25724766523120324,241657,0.44796325355062044
md_ewma,SI,10,0.0012515993671876537,0.538383240335405,241652,0.7212789822675282
md_ewma,SI,20,0.002471922367036366,0.22432002169547754,241642,0.3992135979326295
md_ewma,SI,50,0.0019178911699966458,0.34582564940787375,241612,0.5447065606739245
