variant,gross_residual_return,primary_cost_return,macro_hedge_cost_return,total_cost_return,net_return_after_all_costs,net_raw_return_after_primary_cost,trade_overlap_net,trade_overlap_carry_adjusted_net,ann_return,ann_vol,sharpe_after_all_costs,tstat_after_all_costs,max_drawdown,mean_gross_exposure,mean_primary_turnover,mean_hedge_turnover,mean_complex_hedge_gross,gross_to_total_cost,event_count,event_win_rate,mean_event_return,event_tstat,mean_duration_days,bars
neg_z2_root2_exit0.25_mdq90_normq50_post2020_topo_exit,0.260940068374506,0.017818729332404373,0.007146851842612066,0.02496558117501644,0.23597448719948963,0.22468974236412156,0.03488669666058036,0.03487692574180985,0.014715558221794453,0.023047621904944828,0.6384848850126814,2.5567883301611865,-0.04450133571269982,0.013363028953229399,0.02313783716901757,0.012904526095590438,0.004635525698421614,10.45199254706852,48,0.7708333333333334,0.01114851350118413,3.3932005231697984,1.5,4041
neg_z3_root2_exit0.25_mdq90_normq50_all_topo_hold,0.28052033249938085,0.032645886609982355,0.014912505697368647,0.047558392307351,0.23296194019202984,0.27108434269331855,-0.0006856996952180634,-0.0006257346534230364,0.014527693375004088,0.026235095327399358,0.5537503559147233,2.217472145479603,-0.04139938364207565,0.024746349913387776,0.04076961148230636,0.02665927345836158,0.008797039637941829,5.8984401887786575,85,0.6705882352941176,0.006588870621047358,2.800541290465622,1.588235294117647,4041
neg_z2.5_root2_exit0.25_mdq90_normq50_post2020_topo_hold,0.2521236055241722,0.015142625453741908,0.006010154482422708,0.021152779936164618,0.23097082558800758,0.21215578609715136,0.018552961819497234,0.01861604380980708,0.014403525871857933,0.0207112785055102,0.6954435897342552,2.784877287240138,-0.027844760142118813,0.011135857461024499,0.019178421182875525,0.01062465189420836,0.003746620485984734,11.919171205157763,40,0.75,0.012937393058904262,3.5572081932511974,1.575,4041
neg_z2.5_root2_exit0.25_mdq90_normq50_post2020_topo_exit,0.2509423372992723,0.015142625453741908,0.006009955380024551,0.02115258083376646,0.2297897564655058,0.2120709516408171,0.017371892696995496,0.017447848066644643,0.01432987345441907,0.020709387222094137,0.6919506260972811,2.770889847796657,-0.028089710881316815,0.01088839396189062,0.019178421182875525,0.01062465189420836,0.0036624309246838047,11.863438285444866,40,0.75,0.012878329647659267,3.5144375695276926,1.525,4041
neg_z3_root2_exit0.5_mdq90_normq50_all_topo_hold,0.2739471423230348,0.032645886609982355,0.014903038705927756,0.04754892531591011,0.22639821700712467,0.26985445726073926,-0.0006856996952180634,-0.0006257346534230364,0.014118374334520024,0.02611560932557316,0.5406105658310222,2.1648543580654067,-0.05099207160324324,0.02425142291512002,0.04076961148230636,0.02658508377641076,0.008594020233313114,5.76137400588885,85,0.6705882352941176,0.006434207322780392,2.6881886868891987,1.5529411764705883,4041
neg_z3_root2_exit0.5_mdq90_normq50_all_topo_exit,0.2727658740981349,0.032645886609982355,0.014902839603529599,0.04754872621351195,0.22521714788462294,0.26976962280440503,-0.0018667688177198011,-0.0017939303965854745,0.014044721917081164,0.02611410625511045,0.5378212748266143,2.1536847487968145,-0.05099207160324324,0.024003959415986143,0.04076961148230636,0.02658508377641076,0.008509830672012183,5.7365548106023265,85,0.6705882352941176,0.006406412776312159,2.6673950653865934,1.5294117647058822,4041
neg_z2_root2_exit0.5_mdq90_normq50_post2020_topo_hold,0.2484566303953909,0.017818729332404373,0.007174416944238978,0.024993146276643348,0.22346348411874759,0.23194610208683342,0.0360677657830821,0.0360451214849723,0.013935362038585596,0.02280052382211575,0.6111860476235532,2.4474711787268113,-0.04450133571269982,0.013363028953229399,0.02313783716901757,0.012904167428795396,0.00461036447529314,9.940990527774375,48,0.75,0.010628370252054334,3.2550838771538575,1.4791666666666667,4041
neg_z2_root2_exit0.5_mdq90_normq50_post2020_topo_exit,0.247275362170491,0.017818729332404373,0.00717421784184082,0.024992947174245193,0.22228241499624585,0.23186126763049916,0.03488669666058036,0.03487692574180985,0.013861709621146735,0.022798799850322547,0.6080017243078971,2.4347196776591424,-0.04450133571269982,0.01311556545409552,0.02313783716901757,0.012904167428795396,0.004526174913992212,9.89380565831404,48,0.75,0.010579150742683502,3.219868982274016,1.4375,4041
neg_z3_root2_exit0.25_mdq90_normq50_all_topo_exit,0.26973732708132925,0.032645886609982355,0.01490325736298636,0.04754914397296871,0.2221881831083605,0.269238462438008,-0.0018667688177198011,-0.0017939303965854745,0.013855833245064796,0.026125461174715266,0.5303574605785235,2.1237961897784903,-0.05099207160324324,0.02425142291512002,0.04076961148230636,0.026586351384793823,0.00855585228211725,5.672811422949542,85,0.6705882352941176,0.006335152846504967,2.626237923351665,1.5529411764705883,4041
neg_z2.5_root2_exit0.5_mdq90_normq50_post2020_topo_hold,0.23845889932015715,0.015142625453741908,0.006010038532621207,0.02115266398636312,0.217306235333794,0.21932731136352895,0.018552961819497234,0.01861604380980708,0.013551391067586264,0.02043049093373195,0.6632924833544805,2.65612941000269,-0.027844760142118813,0.01088839396189062,0.019178421182875525,0.010624293227413319,0.0036372697015553328,11.27323250981006,40,0.725,0.01225415774870351,3.3615995874026687,1.5,4041
