variant,split,start,end,bars,net_return_after_all_costs,carry_adjusted_net,total_cost_return,sharpe_after_all_costs,tstat_after_all_costs,max_drawdown,events
neg_z2_root2_exit0.25_mdq90_normq50_all_topo_exit,pre_2020,2011-11-07 00:00:00+00:00,2019-12-31 00:00:00+00:00,2516,0.0381994881552911,0.0381994881552911,0.0429545493010016,0.16843769894656635,0.5322238690896918,-0.04559178499080796,76
neg_z2_root2_exit0.25_mdq90_normq50_all_topo_exit,post_2020,2020-01-01 00:00:00+00:00,2024-11-29 00:00:00+00:00,1525,0.23597448719948963,0.23596471628071913,0.02496558117501644,1.0405235247663496,2.5596851853552867,-0.04450133571269982,48
neg_z2_root2_exit0.25_mdq90_normq50_all_topo_exit,trade_overlap,2023-06-22 00:00:00+00:00,2024-11-29 00:00:00+00:00,449,0.03488669666058036,0.03487692574180985,0.006693874671971176,0.7918230362385232,1.0569416996025123,-0.02808971088131678,14
neg_z2_root2_exit0.25_mdq90_normq50_post2020_topo_hold,full,2011-11-07 00:00:00+00:00,2024-11-29 00:00:00+00:00,4041,0.23715555632199137,0.23713291202388154,0.024965780277414595,0.641633372513533,2.569396328077497,-0.04450133571269982,48
neg_z2_root2_exit0.25_mdq90_normq50_post2020_topo_hold,pre_2020,2011-11-07 00:00:00+00:00,2019-12-31 00:00:00+00:00,2516,0.0,0.0,0.0,,,0.0,0
neg_z2_root2_exit0.25_mdq90_normq50_post2020_topo_hold,post_2020,2020-01-01 00:00:00+00:00,2024-11-29 00:00:00+00:00,1525,0.23715555632199137,0.23713291202388156,0.024965780277414598,1.045668375980371,2.5723415060630237,-0.04450133571269982,48
neg_z2_root2_exit0.25_mdq90_normq50_post2020_topo_hold,trade_overlap,2023-06-22 00:00:00+00:00,2024-11-29 00:00:00+00:00,449,0.0360677657830821,0.0360451214849723,0.0066940737743693335,0.8181768050670702,1.0921192530984245,-0.02784476014211878,14
neg_z2_root2_exit0.25_mdq90_normq50_post2020_topo_exit,full,2011-11-07 00:00:00+00:00,2024-11-29 00:00:00+00:00,4041,0.23597448719948963,0.2359647162807191,0.02496558117501644,0.6384848850126814,2.5567883301611865,-0.04450133571269982,48
neg_z2_root2_exit0.25_mdq90_normq50_post2020_topo_exit,pre_2020,2011-11-07 00:00:00+00:00,2019-12-31 00:00:00+00:00,2516,0.0,0.0,0.0,,,0.0,0
neg_z2_root2_exit0.25_mdq90_normq50_post2020_topo_exit,post_2020,2020-01-01 00:00:00+00:00,2024-11-29 00:00:00+00:00,1525,0.23597448719948963,0.23596471628071913,0.02496558117501644,1.0405235247663496,2.5596851853552867,-0.04450133571269982,48
neg_z2_root2_exit0.25_mdq90_normq50_post2020_topo_exit,trade_overlap,2023-06-22 00:00:00+00:00,2024-11-29 00:00:00+00:00,449,0.03488669666058036,0.03487692574180985,0.006693874671971176,0.7918230362385232,1.0569416996025123,-0.02808971088131678,14
neg_z2_root2_exit0.25_mdq95_normq50_all_topo_hold,full,2011-11-07 00:00:00+00:00,2024-11-29 00:00:00+00:00,4041,0.09667997915171214,0.09665921233376132,0.04058907800608141,0.24872108173739527,0.9959940699905655,-0.04867079907493477,76
neg_z2_root2_exit0.25_mdq95_normq50_all_topo_hold,pre_2020,2011-11-07 00:00:00+00:00,2019-12-31 00:00:00+00:00,2516,-0.002193670909390457,-0.002193670909390457,0.02688407562223006,-0.010386770229239672,-0.032819772968432935,-0.04867079907493477,50
neg_z2_root2_exit0.25_mdq95_normq50_all_topo_hold,post_2020,2020-01-01 00:00:00+00:00,2024-11-29 00:00:00+00:00,1525,0.0988736500611026,0.09885288324315178,0.01370500238385134,0.5710777885554933,1.4048498859064227,-0.04446356996688167,26
neg_z2_root2_exit0.25_mdq95_normq50_all_topo_hold,trade_overlap,2023-06-22 00:00:00+00:00,2024-11-29 00:00:00+00:00,449,0.04324549782107563,0.043224731003124815,0.004613841397503097,1.4260248685529808,1.9034873693543448,-0.0023491041937688355,10
neg_z2_root2_exit0.25_mdq95_normq50_all_topo_exit,full,2011-11-07 00:00:00+00:00,2024-11-29 00:00:00+00:00,4041,0.08708729119054454,0.08706652437259371,0.040580028774097276,0.22513781020476714,0.9015557600837484,-0.05826348703610236,76
neg_z2_root2_exit0.25_mdq95_normq50_all_topo_exit,pre_2020,2011-11-07 00:00:00+00:00,2019-12-31 00:00:00+00:00,2516,-0.011786358870558046,-0.011786358870558046,0.02687502639024593,-0.05639027914718733,-0.178180138617808,-0.05826348703610236,50
neg_z2_root2_exit0.25_mdq95_normq50_all_topo_exit,post_2020,2020-01-01 00:00:00+00:00,2024-11-29 00:00:00+00:00,1525,0.0988736500611026,0.09885288324315178,0.01370500238385134,0.5710777885554933,1.4048498859064227,-0.04446356996688167,26
neg_z2_root2_exit0.25_mdq95_normq50_all_topo_exit,trade_overlap,2023-06-22 00:00:00+00:00,2024-11-29 00:00:00+00:00,449,0.04324549782107563,0.043224731003124815,0.004613841397503097,1.4260248685529808,1.9034873693543448,-0.0023491041937688355,10
neg_z2_root2_exit0.25_mdq95_normq50_post2020_topo_hold,full,2011-11-07 00:00:00+00:00,2024-11-29 00:00:00+00:00,4041,0.0988736500611026,0.09885288324315178,0.01370500238385134,0.3507514266084817,1.4045706881880873,-0.04446356996688167,26
neg_z2_root2_exit0.25_mdq95_normq50_post2020_topo_hold,pre_2020,2011-11-07 00:00:00+00:00,2019-12-31 00:00:00+00:00,2516,0.0,0.0,0.0,,,0.0,0
neg_z2_root2_exit0.25_mdq95_normq50_post2020_topo_hold,post_2020,2020-01-01 00:00:00+00:00,2024-11-29 00:00:00+00:00,1525,0.0988736500611026,0.09885288324315178,0.01370500238385134,0.5710777885554933,1.4048498859064227,-0.04446356996688167,26
neg_z2_root2_exit0.25_mdq95_normq50_post2020_topo_hold,trade_overlap,2023-06-22 00:00:00+00:00,2024-11-29 00:00:00+00:00,449,0.04324549782107563,0.043224731003124815,0.004613841397503097,1.4260248685529808,1.9034873693543448,-0.0023491041937688355,10
neg_z2_root2_exit0.25_mdq95_normq50_post2020_topo_exit,full,2011-11-07 00:00:00+00:00,2024-11-29 00:00:00+00:00,4041,0.0988736500611026,0.09885288324315178,0.01370500238385134,0.3507514266084817,1.4045706881880873,-0.04446356996688167,26
neg_z2_root2_exit0.25_mdq95_normq50_post2020_topo_exit,pre_2020,2011-11-07 00:00:00+00:00,2019-12-31 00:00:00+00:00,2516,0.0,0.0,0.0,,,0.0,0
neg_z2_root2_exit0.25_mdq95_normq50_post2020_topo_exit,post_2020,2020-01-01 00:00:00+00:00,2024-11-29 00:00:00+00:00,1525,0.0988736500611026,0.09885288324315178,0.01370500238385134,0.5710777885554933,1.4048498859064227,-0.04446356996688167,26
neg_z2_root2_exit0.25_mdq95_normq50_post2020_topo_exit,trade_overlap,2023-06-22 00:00:00+00:00,2024-11-29 00:00:00+00:00,449,0.04324549782107563,0.043224731003124815,0.004613841397503097,1.4260248685529808,1.9034873693543448,-0.0023491041937688355,10
neg_z2_root2_exit0.5_mdq90_normq50_all_topo_hold,full,2011-11-07 00:00:00+00:00,2024-11-29 00:00:00+00:00,4041,0.2646919370503011,0.26466929275219125,0.06794727781818818,0.5694520136893361,2.2803488341916887,-0.04559178499080796,124
neg_z2_root2_exit0.5_mdq90_normq50_all_topo_hold,pre_2020,2011-11-07 00:00:00+00:00,2019-12-31 00:00:00+00:00,2516,0.041228452931553534,0.041228452931553534,0.04295413154154484,0.18195753989084293,0.5749434152592388,-0.04559178499080796,76
neg_z2_root2_exit0.5_mdq90_normq50_all_topo_hold,post_2020,2020-01-01 00:00:00+00:00,2024-11-29 00:00:00+00:00,1525,0.2234634841187476,0.22344083982063778,0.02499314627664335,0.9959237259699312,2.4499697954272657,-0.04450133571269982,48
neg_z2_root2_exit0.5_mdq90_normq50_all_topo_hold,trade_overlap,2023-06-22 00:00:00+00:00,2024-11-29 00:00:00+00:00,449,0.0360677657830821,0.0360451214849723,0.0066940737743693335,0.8181768050670702,1.0921192530984245,-0.02784476014211878,14
neg_z2_root2_exit0.5_mdq90_normq50_all_topo_exit,full,2011-11-07 00:00:00+00:00,2024-11-29 00:00:00+00:00,4041,0.2635108679277994,0.26350109700902885,0.06794707871579003,0.5669371045606267,2.270277976662192,-0.04559178499080796,124
neg_z2_root2_exit0.5_mdq90_normq50_all_topo_exit,pre_2020,2011-11-07 00:00:00+00:00,2019-12-31 00:00:00+00:00,2516,0.041228452931553534,0.041228452931553534,0.04295413154154484,0.18195753989084293,0.5749434152592388,-0.04559178499080796,76
neg_z2_root2_exit0.5_mdq90_normq50_all_topo_exit,post_2020,2020-01-01 00:00:00+00:00,2024-11-29 00:00:00+00:00,1525,0.22228241499624585,0.22227264407747532,0.024992947174245193,0.990722267027096,2.43717421985275,-0.04450133571269982,48
neg_z2_root2_exit0.5_mdq90_normq50_all_topo_exit,trade_overlap,2023-06-22 00:00:00+00:00,2024-11-29 00:00:00+00:00,449,0.03488669666058036,0.03487692574180985,0.006693874671971176,0.7918230362385232,1.0569416996025123,-0.02808971088131678,14
neg_z2_root2_exit0.5_mdq90_normq50_post2020_topo_hold,full,2011-11-07 00:00:00+00:00,2024-11-29 00:00:00+00:00,4041,0.22346348411874759,0.22344083982063775,0.024993146276643348,0.6111860476235532,2.4474711787268113,-0.04450133571269982,48
neg_z2_root2_exit0.5_mdq90_normq50_post2020_topo_hold,pre_2020,2011-11-07 00:00:00+00:00,2019-12-31 00:00:00+00:00,2516,0.0,0.0,0.0,,,0.0,0
