signal,entry,target,horizon,events,direction,train_event_mean_bps,train_event_t,roundtrip_bps,event_gross_to_roundtrip_cost,screen_score
size:GC_large_minus_small_share,2.5,SI,50,4629,-1.0,2.0156940316772136,1.6672872296702945,3.739016638624893,0.5390973687719481,0.8988301585023265
feat:rank_turnover_l1,2.5,HG,2,1234,-1.0,0.6686514602354816,2.145457261472988,1.6007683688161451,0.4177065672093368,0.8961715877842263
feat:rank_turnover_l1,2.5,HG,5,1234,-1.0,0.8307687483165692,1.7253002087736005,1.6007683688161451,0.5189812370736484,0.895398436672747
resid:HG,2.5,SI,10,7533,1.0,1.162266602293815,2.8786651590857413,3.739016638624893,0.3108482027834101,0.8948278911170219
feat:entropy_normalized,2.0,PL,50,7597,-1.0,1.9546809586641756,2.342583626816735,5.126364894653202,0.3812996146066207,0.8932262340890008
feat:PA_signed_notional_share,1.5,PA,20,14845,-1.0,2.4922924942076476,4.003416995753081,11.187768040275966,0.2227694107739269,0.8918388452262386
size:PA_large_minus_small_share,2.0,HG,50,7472,1.0,1.1467487211990444,1.2433119679558648,1.6007683688161451,0.71637392613344,0.8906762758932366
anom:md_robust_snapshot,2.5,PA,50,4551,1.0,4.090527919895444,2.435515077369632,11.187768040275966,0.3656250205733211,0.8904852502699054
feat:GC_notional_share,1.5,SI,10,19425,-1.0,0.9046861002428833,3.6670143089641933,3.739016638624893,0.24195829750990408,0.8872645391414337
feat:rank_turnover_l1,2.0,PL,50,9046,1.0,1.8490914868429913,2.4552800998643263,5.126364894653202,0.3607022763384623,0.8856251210695896
size:GC_large_minus_small_share,2.5,GC,10,4629,-1.0,0.5484524365384834,1.7787741949618379,1.1015763557651,0.4978796373652698,0.8856154511422996
feat:HG_notional_share,1.5,SI,20,10389,1.0,1.2365236456854498,2.6526741290424165,3.739016638624893,0.33070824903849827,0.8772612164853409
feat:SI_notional_share,3.0,PL,50,2776,1.0,2.5062799278706334,1.7941650876694126,5.126364894653202,0.4889000255297244,0.877167357166116
feat:abs_complex_signed_notional_ratio,3.0,GC,10,2440,1.0,0.6130057144079707,1.5759344104803343,1.1015763557651,0.5564804574824117,0.8769767017063712
feat:SI_abs_signed_notional_share,3.0,SI,2,3354,1.0,0.9840961293216158,3.317990599806975,3.739016638624893,0.26319650978700626,0.8732835453752913
feat:SI_abs_signed_notional_share,3.0,PA,50,3354,1.0,4.246324173359282,2.2930664744695015,11.187768040275966,0.3795506090287638,0.8703347769283396
anom:md_rolling,3.0,HG,20,3238,-1.0,1.4186531020239668,0.9814669461636003,1.6007683688161451,0.8862325928348631,0.8698079964802825
feat:abs_complex_signed_notional_ratio,2.0,GC,5,7831,1.0,0.37487554143811724,2.5474311004677492,1.1015763557651,0.34030826776210843,0.8669118650435014
feat:contribution_velocity_l2,3.0,PA,50,2811,1.0,4.327797065699282,2.2355850640882733,11.187768040275966,0.3868329277224208,0.8647979155137825
feat:SI_abs_signed_notional_share,2.5,HG,50,5082,1.0,1.1120269563255412,1.2387108854534197,1.6007683688161451,0.6946832396169506,0.8605116908555629
size:GC_large_minus_small_share,1.5,GC,20,22693,-1.0,0.41141163528689134,2.3009115617702998,1.1015763557651,0.37347536839708706,0.8593337931812797
resid:HG,2.5,GC,20,7533,1.0,0.5311910075413802,1.781081863942488,1.1015763557651,0.48220988473598947,0.8588552803170684
feat:SI_abs_signed_notional_share,2.0,PA,50,7867,1.0,3.387877601405994,2.832410517390216,11.187768040275966,0.30281979293900574,0.8577099663943673
